momsp	seed	germ	surv	data_sets	momid	join	momid_fixed	notes_momid_fixes	problem	notes_JP	notes_SW
menziesii	79	4	3	8	8491223						
menziesii	8			1	84914C				loner		this matches 9.19.17 inventory
menziesii	12	1	1	3	8491713						
menziesii	74	5	5	6	849417						
menziesii	28	3	3	6	8495739						
menziesii	12	1	1	3	84957C						
menziesii	7	1	1	3	84961A						
menziesii		1	2	2	849772	1					
menziesii	21			1	849772H	1	849772		one ds	drop the H?	yes, drop the H
menziesii	29	2	2	3	84983A						
menziesii	56	3	4	6	84989E						
menziesii	55	5	5	9	84993C						
menziesii	73	4	4	6	9504062						
menziesii	5	7	1	3	9504102						
menziesii	43	5	5	9	9504291						
menziesii	19			1	9504422				one ds		OK, plant in inventory
menziesii	2			1	950501				loner	okay, plant in inventory	OK, plant in inventory
menziesii	12			1	95050136				loner	okay, plant in inventory	OK, plant in inventory
salicaria	9	1	1	3	8421085						
salicaria	11	1	1	3	84213956						
salicaria	13	2	4	4	8421433						
salicaria	40	2	2	4	842151E						
salicaria	11			1	84216121	1	84216221		loner	inventory only has 162-21	this should be 84216221
salicaria	43	1	1	4	84216221	1					
salicaria	10	1	1	3	84216723						
salicaria			1	2	84216754	1					
salicaria		1			84216754F	1	84216754	JP: drop F			
salicaria		2	2	2	84216923						
salicaria	11	1	1	3	84217237	1					
salicaria	4			1	84217337	1	84217237		loner	inventory only has 172-37	this should be 84217237
salicaria	13	2	2	5	8421951						
salicaria		2	2	2	84220145						
salicaria	17		1	2	84220146			? 201-46 is in inventory, says hermaphrodite (201-45 is female). SGW says plant is real			
salicaria	31	2	2	3	8422123						
salicaria	10	1	1	3	8422152						
salicaria	1	1	1	3	84222127						
salicaria	41	2	2	4	842221F						
salicaria	5	1	1	3	842223						
salicaria		2	2	2	84224131	1					
salicaria	1			1	84224131F	1	84224131		loner	drop the F?   	yes, drop the F
salicaria	5	3	3	5	8423715						
salicaria		1	1	2	84243a41						
salicaria	21	2	2	4	8425120	1					
salicaria		1	1	2	842691F						
salicaria		1	1	2	8428019						
salicaria	9			1	8428120	1	8425120		loner		this is probably 8425120
salicaria		1	1	2	8428638						
salicaria		1	1	2	842958						
lydgatei	5			1	6682041	1	66822041		fixed	fixed to 66822041	OK
lydgatei	61	3	3	6	66822041	1					
lydgatei	31	2	2	3	66822092						
lydgatei	52	3	3	7	66822121						
lydgatei	64	4	3	9	66822171						
lydgatei		1			66822211	1	66822221	221-1 not in inventory. SGW: book says 222-1 			
lydgatei	33	3	2	6	66822221	1					
lydgatei	61	3	3	3	66822231						
lydgatei	60	3	3	3	66822292						
lydgatei	71	6	2	9	66822332	1					
lydgatei	29	1	2	3	66822341	1					
lydgatei		1			66822342	1	66822341	234-2 not in inventory, SGW: book says 234-1			
lydgatei	74	6	4	9	66822352						
lydgatei			2		66832332	1	66822332	JP: fix population number			
sarmentosa		4			8796123	1	896123	JP: too many population digits, drop 7			
sarmentosa	17			2	8961221						
sarmentosa		1			89612216	1	89612316	JP: 122-16 not in inventory			
sarmentosa		4	3	4	8961222						
sarmentosa	45	3	4	8	896123	1		JP: sarm based on population number, fixed momsp 2 rows in germ data			
sarmentosa	68	7	4	8	89612316			sarm based on population number, so I fixed mom/dad1/dad2 species in 3 rows in germ data (lydg>sarm), in surv data kept as lydg and changed momid 896 123-16 > 6682 229-2			
sarmentosa	45			2	896123LS7						
sarmentosa	2			1	896143				loner	in inventory	OK to use
sarmentosa		3	3	4	89682	1					
sarmentosa		1			89682F	1	89682	JP: drop F			
stellarioides	31	1	3		10C	1	1465110C	there are two 10C genotypes (14651 and 14765), SGW says 14651			
stellarioides	5			1	10CC2x6GC1(SS1010)				loner		OK to use (plant used was result of a cross between two field plants. The progeny were labeled SS10, and the progeny IDs of the plants used in the crosses were 10, 29, and 43.
stellarioides	19			1	10CC2x6GC1(SS1029)	1			one ds	same as SS1029?	OK to use (plant used was result of a cross between two field plants. The progeny were labeled SS10, and the progeny IDs of the plants used in the crosses were 10, 29, and 43.
stellarioides	24			1	10CC2x6GC1(SS1043)	1			one ds	same as SS1043?	OK to use (plant used was result of a cross between two field plants. The progeny were labeled SS10, and the progeny IDs of the plants used in the crosses were 10, 29, and 43.
stellarioides	20	1	1		1465110CC2	1	1465110C	JP: collapse clones			
stellarioides	34			4	146513B						
stellarioides		1			146513BC2	1	146513B	JP: collapse clones			
stellarioides	53	1	1	5	1476510C	1					
stellarioides	15			5	1476514B	1	1476514B			new: are there 3 plants, 14B, 14B-1, and 14B-2? I see 14B and two progeny in inventory.	This should be 147651B1G
stellarioides			1		1476514B1	1	1476514B1				
stellarioides	20			1	1476514B1G	1	1476514B1		loner	is the 1G another plant?	same as previous plant [1476514B]
stellarioides	20	1	1		1476514B2	1	1476514B2				
stellarioides		1			1476514BG	1	1476514B1				
stellarioides	33	1	2		1476520J1	1	1476520J	JP: collapse clones			
stellarioides	37	1	1		1476520J6	1	1476520J	JP: collapse clones			
stellarioides	20	2	1	4	147654E	1					
stellarioides	46			6	147656G	1					
stellarioides			1		14B	1	1476514B				
stellarioides	1			1	14B1	1	1476514B1		loner	add pop number?	Although two population numbers are used for S. stellarioides, they are from the two populations collected at different times. Not the best numbering system for ouir purposes, but that is what they did. 14B1 was used to indicate that a separate plant was detected in the pot (S. stellarioides was short lived but kept regenerating from seed. It is a different plant and therefore a valid loner.  
stellarioides	5			1	14Bx6GC2(SS112)				loner		
stellarioides	9			1	14Bx6GC2(SS121)				loner		
stellarioides	11			1	14Bx9A(SS1113)				loner	maybe SS113?	There were two progeny IDs, SS11-3 and SS11-13 so both are correct
stellarioides	3			1	14Bx9A(SS113)	1			loner	same as SS113(14Bx9A3)?	THere were two progeny IDs, SS11-3 and SS11-13 so both are correct
stellarioides		1			1776510C	1	1476510C	JP: population one digit off			
stellarioides	1	1	1		3B	1	146513B	JP: collapse clones			
stellarioides			1		3BC2	1	146513B	JP: collapse clones			
stellarioides	20			1	4E	1	147654E		loner	new: add pop number?	As before, all plants were from the same population, even though 2 numbers were used, so it doesn't matter (though I wish I had recorded it!)
stellarioides	8			1	4Ex18E(SS21)	1			one ds		
stellarioides	25			1	4Ex18E(SS212)	1			loner	same as SS212?	two different progeny were used- SS2-1 and SS2-12
stellarioides	9			1	4Ex18E(SS234)				loner		
stellarioides	2	3	3		6G	1	147656G	JP: collapse clones			
stellarioides	6	1	1		6GC1	1	147656G	JP: collapse clones			
stellarioides	3			1	6GC2	1	147656G	JP: collapse clones	loner	add pop number?	As before, only one population
stellarioides	6			1	9A				loner	add pop number?	As before, only one population
stellarioides	2			1	9Ex18E(SS21)	1	4Ex18E(SS21)		loner	new: 4E read as 9E?	
stellarioides		1	1	2	SS1029	1	10CC2x6GC1(SS1029)			same as 10CC2x6GC1(SS1029)?	yes
stellarioides		1	1	2	SS1043	1	10CC2x6GC1(SS1043)			same as 10CC2x6GC1(SS1043)?	yes
stellarioides	4			1	SS113(14Bx9A3)	1	14Bx9A(SS113)		loner	same as 14Bx9A(SS113)?	this is SS11-3 (there is also SS11-13)
stellarioides		1	1	2	SS212	1	4Ex18E(SS212)			same as 4Ex18E(SS212)?	yes, this is 4Ex18E (SS2-12)
spergulina	19			1	12028911				loner	in inventory	OK
spergulina		1	1	2	1202896						
spergulina			1	1	1202897			? 120289-7 is in inventory, says female. Perhaps 120294-7? SGW confirms real plant	loner	in inventory	
spergulina	55	2	1	4	1202899						
spergulina		1	1	2	1202908						
spergulina	46	1	1	4	1202928						
spergulina		2	1	2	1202941						
spergulina	34	1	2	6	1202944	1					
spergulina		1			1202944F	1	1202944	JP: drop F			
spergulina	54	4	2	6	1202947						
spergulina	40	5	2	6	1202969						
spergulina		2	1	2	1202984						
membranacea	2			1	19033		86419033		one ds	in inventory	OK
membranacea	32			3	19230	1	86419230			add pop number	
membranacea	25			1	20111		86420111		one ds	in inventory, add pop number	OK (was 864 201-11)
membranacea	5			1	2012	1	8642012		loner	not in inventory - 201-11?	same as 864 201-2
membranacea	120	2	2	7	20211						was 2021-1
membranacea	1			1	20228		86420228		loner	in inventory	OK (864 202-28)
membranacea	60			2	5x9c7	1	8645x9c7			add pop number	
membranacea		1		1	8641	1	864Notag1	none germinated	loner	same as Notag#1?	yes
membranacea		1	1	2	86419230	1					OK, was 864 192-30
membranacea		5	1	4	8642	1	864Notag2			same as Notag#2?	yes
membranacea		1		1	8642012	1		only 5 seeds germinated	loner	not in inventory - 201-11?	OK, same as 864 201-2 (inconsistent use of pop number)
membranacea		2	2	4	8645x9c7	1					
membranacea		1	1	2	864Cross6	1					
membranacea		1	1	2	Cross6	1	864Cross6		fixed	fixed to 864Cross6	
membranacea	44			1	NoTag2	1	864Notag2		fixed	fixed case to Notag#2	OK
membranacea	10			1	Notag1	1	864Notag1		one ds	same as 864#1?	Yes
membranacea	79		1	1	Notag2	1	864Notag2		fixed	fixed case to Notag#2	OK
membranacea		1	1		memb2	1	864Notag2	SGW confirmed No tag #2 and memb#2 are the same plant			
membranacea	1			1	membcross10				loner		OK
membranacea	37			2	membcross2						
kauaiensis	49			1	1				one ds		1 and 1a (or 2 and 2a) refers to the direction of the original cross so they are different plants (although they have the same parents)
kauaiensis	31			1	120741a	1	1a		one ds		
kauaiensis	113	1		4	120747			only 1 seeds germinated			
kauaiensis			1	1	120748X1207473a			? 12074-8X12074-7 3a is in inventory, SGW confirms real plant	loner		
kauaiensis	159	3	1	6	1a	1					
