momsp	plantid	style_length_mm
kaua	1a52511#7	4.32
kaua	1a52511#7	4.24
kaua	1a52511#7	3.68
kaua	1a52511#7	4.24
kaua	1a52511#7	4.16
kaua	P2x5251#9	4.64
kaua	P2x5251#9	5.04
kaua	P2x5251#9	4.48
kaua	P2x5251#9	4.88
kaua	P2x5251#9	5.04
kaua	1ax4633#3	4.16
kaua	1ax4633#3	4.32
kaua	1ax4633#4	4.08
kaua	1ax4633#5	4.48
kaua	1ax4633#6	3.84
kaua	3ax5251#6	4.48
kaua	3ax5251#6	4.40
kaua	3ax5251#6	4.24
kaua	3ax5251#6	4.32
kaua	3ax5251#6	4.40
kaua	1a5251#10	4.48
kaua	1a5251#10	4.16
kaua	1a5251#10	4.24
kaua	1a5251#10	4.16
kaua	1a5251#10	4.00
memb	864192-30	4.56
memb	864192-30	4.48
memb	864192-30	4.32
memb	864192-30	4.56
memb	864192-30	4.40
memb	864220112	4.56
memb	864220112	4.72
memb	864220112	4.72
memb	864220112	4.48
memb	864220112	4.32
memb	864220116	4.48
memb	864220116	4.56
memb	864220116	4.88
memb	864220116	4.64
memb	864220116	4.40
memb	8642021-1	3.84
memb	8642021-1	4.56
memb	8642021-1	4.56
memb	8642021-1	3.76
memb	8642021-1	4.40
sal	842212-18H	3.84
sal	842212-18H	3.84
sal	842212-18H	4.00
sal	842212-18H	3.84
sal	842212-18H	4.16
sal	842172-37	4.64
sal	842172-37	4.64
sal	842172-37	4.64
sal	842172-37	4.64
sal	842172-37	4.56
sal	84243A-41	3.28
sal	84243A-41	3.20
sal	84243A-41	3.04
sal	84243A-41	2.96
sal	84243A-41	3.36
sal	842139-56H	4.24
sal	842139-56H	4.16
sal	842139-56H	4.08
sal	842139-56H	4.16
sal	842139-56H	4.16
sal	842201-46	4.08
sal	842201-46	4.24
sal	842201-46	3.76
sal	842201-46	3.84
sal	842201-46	3.76
menz	950429-1	6.80
menz	950429-1	6.64
menz	950429-1	6.56
menz	950429-1	6.96
menz	950429-1	6.56
menz	950501-36	8.00
menz	950501-36	6.96
menz	950501-36	8.00
menz	950501-36	7.60
menz	950501-36	7.28
menz	84983A	5.36
menz	84983A	6.16
menz	84983A	6.16
menz	84983A	5.68
menz	84983A	6.24
menz	8494-17	5.76
menz	8494-17	5.92
menz	8494-17	6.00
menz	8494-17	5.92
menz	8494-17	5.28
menz	849122-3	7.36
menz	849122-3	6.08
menz	849122-3	7.20
menz	849122-3	7.28
menz	849122-3	7.12
hook	794-2	4.88
hook	794-2	4.72
hook	794-2	4.48
hook	794-2	4.24
hook	794-2	4.88
hook	866-2	4.08
hook	866-2	3.68
hook	866-2	3.84
hook	866-2	4.16
hook	866-2	4.08
hook	899-2E-1	4.16
hook	899-2E-1	4.40
hook	899-2E-1	4.48
hook	899-2E-1	4.16
hook	899-2E-1	3.92
hook	794-4	5.12
hook	794-4	5.28
hook	794-4	4.72
hook	794-4	4.88
hook	794-4	5.12
hook	87910-1	4.64
hook	87910-1	4.48
hook	87910-1	5.28
hook	87910-1	4.40
hook	87910-1	4.64
hook	879G-2	3.76
hook	879G-2	3.92
hook	879G-2	4.24
hook	879G-2	4.16
hook	879G-2	4.40
hook	8792-2	4.80
hook	8792-2	4.80
hook	8792-2	4.56
hook	8792-2	4.40
hook	8792-2	4.80
hook	879N-5	4.16
hook	879N-5	4.24
hook	879N-5	4.56
hook	879N-5	4.48
hook	879N-5	4.24
hook	879H-2	3.60
hook	879H-2	3.52
hook	879H-2	3.44
hook	879H-2	3.52
kaal	892-3	5.36
kaal	892-3	5.60
kaal	892-3	5.52
kaal	892-3	5.84
kaal	892-3	5.60
kaal	116-1	5.36
kaal	116-1	4.88
kaal	116-1	5.28
kaal	116-1	4.72
kaal	116-1	4.88
kaal	892-10	5.44
kaal	892-10	5.12
kaal	892-10	5.60
kaal	892-10	5.12
kaal	892-10	4.96
