index,date,boxcell,momsp,mompid,dadsp,dadpid,fullcross,progenyid,flowers,anthers,line,viable,inviable,tot,notes
1,2020-03-05,1,,794,,,794 Location 2,,5,20,445,,,,JP no data
2,2020-03-05,2,,794-4,,,794-4 Below rocks,,6,24,446,,,,JP no data
3,2020-03-05,3,,866-2,,,866-2,,6,20,447,,,,JP no data
4,2020-02-22,9,sarmentosa,896 19-5H,,,896 19-5H,6,6,20,365,,,,Field P1; collected at 4: JP total was 0
5,2020-03-05,4,,899 2E 1,,,899 2E 1,,6,20,448,,,,JP no data
6,2020-03-24,6,adamantis,847 325-11,attenuata,1394-7,adam 847 325-11 x atten,7,5,20,592,54,148,202,
7,2020-03-27,7,adamantis,847 325-11,attenuata,1394-7,adam 847 325-11 x atten,12,4,20,624,68,132,200,
8,2020-04-06,3,adamantis,847 325-11,attenuata,1394-7,adam 847 325-11 x atten,11,4,20,678,35,165,200,
9,2020-04-19,6,adamantis,847 325-11,attenuata,1394-7,adam 847 325-11 x atten,3,4,20,748,73,127,200,
10,2020-04-27,2,adamantis,847 325-11,attenuata,1384-7,adam 847 325-11 x atten,6,5,20,766,46,154,200,cell 1: not used
11,2020-01-11,4,adamantis,847 325-11,obovata ,897-8,adam 847 325-11 x obov 897-8,17,4,20,148,30,170,200,
12,2020-01-15,2,adamantis,847 325-11,obovata ,897-8,adam 847 325-11 x obov 897-8,19,2,20,159,11,189,200,JP anthers was 20 (19)
13,2020-01-23,2,adamantis,847 325-11,obovata ,ob 897-8,adam 847 325-11 x obov 897-8,5,6,20,168,42,158,200,
14,2020-02-02,6,adamantis,847 325-11,obovata ,897-8,adam 847 325-11 x obov 897-8,7,6,20,218,48,152,200,
15,2020-01-12,5,adamantis,847 325-11,obovata ,897-8,adam 847 325-11 x obov 897-8 ,1,5,20,157,56,144,200,
16,2020-01-29,2,adamantis,847 472-4,attenuata,1394-7,adam 847 472-4 x atten ,7,4,20,184,73,127,200,
17,2020-02-01,9,adamantis,847 472-4,attenuata,1394-7,adam 847 472-4 x atten ,3,4,20,210,39,161,200,
18,2020-02-01,11,adamantis,847 472-4,attenuata,1394-7,adam 847 472-4 x atten ,8,5,20,211,35,165,200,
19,2020-02-07,8,adamantis,847 472-4,attenuata,1394-7,adam 847 472-4 x atten ,12,4,20,260,59,141,200,
20,2020-02-09,5,adamantis,847 472-4,attenuata,1394-7,adam 847 472-4 x atten ,9,5,20,269,55,145,200,thrips 
21,2020-03-06,1,adamantis,847 472-4F,perlmanii,12917,adam 847 472-4 x perl,3,4,20,460,115,86,201,
22,2020-02-22,3,adamantis,847 472-4,perlmanii,12917,adam 847 472-4 x perl ,5,3,20,359,72,128,200,
23,2020-02-25,5,adamantis,847 472-4F,perlmanii,12917,adam 847 472-4 x perl ,10,4,20,380,92,108,200,
24,2020-02-28,3,adamantis,847 472-4F,perlmanii,12917,adam 847 472-4 x perl ,7,3,10,404,63,137,200,~10 anthers total JP anthers was ~10
25,2020-03-01,9,adamantis,847 472-4F,perlmanii,12917,adam 847 472-4 x perl ,2,3,20,423,115,85,200,
26,2019-10-10,1,apokremnos,90462-16,verticillata,NTBG-25,apok 90462-16 x vert NTBG-25,1,4,20,23,120,80,200,
27,2019-10-15,11,apokremnos,90462-16,verticillata,NTBG-25,apok 90462-16 x vert NTBG-25,2,4,20,47,113,87,200,
28,2019-12-09,3,apokremnos,90462-16,verticillata,NTBG-25,apok 90462-16 x vert NTBG-25,5,4,20,106,89,111,200,
29,2020-01-11,5,apokremnos,90462-16,verticillata,NTBG-25,apok 90462-16 x vert NTBG-25,3,4,20,149,90,110,200,
30,2020-03-01,10,apokremnos,90462-16,verticillata,NTBG-25,apok 90462-16 x vert NTBG-25,11,8,,424,,,,not collected 
31,2019-12-06,5,apokremnos,90462-16,verticillata,NTBG-25 ,apok 90462-16 x vert NTBG-25 ,6,3,20,99,103,97,200,
32,2020-03-13,9,apokremnos,90462-18,membranacea,864 202-28,apok 90462-18 x memb 864 202-28,1,3,20,516,75,125,200,
33,2020-03-25,12,apokremnos,90462-18,membranacea,864 202-28,apok 90462-18 x memb 864 202-28,6,4,20,607,93,107,200,
34,2020-04-03,1,apokremnos,90462-18,membranacea,864 202-28,apok 90462-18 x memb 864 202-28,2,4,25,662,45,155,200,
35,2020-07-19,2,apokremnos,90462-18,membranacea,864 202-28,apok 90462-18 x memb 864 202-28,4,6,20,942,24,176,200,
36,2020-07-20,1,apokremnos,90462-18,membranacea,864 202-28,apok 90462-18 x memb 864 202-28,20,4,20,944,26,174,200,
37,2021-06-01,1,apokremnos,90462-24F,attenuata,1394-7,apok 90462-24 x atten,1,5,20,998,56,144,200,
38,2021-07-16,1,apokremnos,90462-24F,attenuata,1394-7,apok 90462-24 x atten,2,5,20,1014,4,196,200,
39,2019-10-08,1,apokremnos,90462-32,verticillata,NTBG-25,apok 90462-32 x vert NTBG-25,19,3,20,6,78,122,200,
40,2019-10-08,2,apokremnos,90462-32,verticillata,NTBG-25,apok 90462-32 x vert NTBG-25,15,3,20,7,67,133,200,
41,2019-10-08,3,apokremnos,90462-32,verticillata,NTBG-25,apok 90462-32 x vert NTBG-25,18,4,20,8,52,148,200,
42,2019-10-09,7,apokremnos,90462-32,verticillata,NTBG-25,apok 90462-32 x vert NTBG-25,11,5,20,21,19,181,200,
43,2019-10-09,8,apokremnos,90462-32,verticillata,NTBG-25,apok 90462-32 x vert NTBG-25,16,3,20,22,57,143,200,
44,2021-01-02,1,apokremnos,90462-34,attenuata,1394-7,apok 90462-34 x atten,10,5,20,969,42,158,200,
