dadgeneration	momgeneration	linenum	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crosstype	viable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	61	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	62	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	63	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	64	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	4	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	65	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	4	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	68	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	4	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	69	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	3	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	70	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	72	879-10-1 x 892-3ID9	879WKG	10-1	892WKG	3ID9	879-2-2 x 892-4ID12	879WKG	2-2	892WKG	4ID12	FF	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	73	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	879-G2 x 904-3ID3	879WKG	G2	904WPG	3ID3	FF	9	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	74	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	879-G2 x 904-3ID3	879WKG	G2	904WPG	3ID3	FF	9	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	75	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	879-G2 x 904-3ID3	879WKG	G2	904WPG	3ID3	FF	6	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	76	879-10-1 x 904-5ID4	879WKG	10-1	904WPG	5ID4	879-G2 x 904-3ID3	879WKG	G2	904WPG	3ID3	FF	7	JP: fixed crosstype from FH to FF	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	78	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	79	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	80	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	81	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	82	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	84	904-2 x 879-10-1ID4	904WPG	2	879WKG	10-1ID4	904-3 x 879-G2ID4	904WPG	3	879WKG	G2ID4	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	85	904-2 x 879-10-1ID4	904WPG	2	879WKG	10-1ID4	904-3 x 879-G2ID4	904WPG	3	879WKG	G2ID4	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	86	904-2 x 879-10-1ID4	904WPG	2	879WKG	10-1ID4	904-3 x 879-G2ID4	904WPG	3	879WKG	G2ID4	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	87	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	88	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	89	904-2 x 879-2-2ID4	904WPG	2	879WKG	2-2ID4	904-3 x 879-H-2ID5	904WPG	3	879WKG	H-2ID5	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	90	879-2-2 x 904-3ID11	879WKG	2-2	904WPG	3ID11	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	FF	7	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	91	879-2-2 x 904-3ID11	879WKG	2-2	904WPG	3ID11	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	92	879-2-2 x 904-3ID11	879WKG	2-2	904WPG	3ID11	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	FF	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	93	879-2-2 x 904-3ID11	879WKG	2-2	904WPG	3ID11	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	FF	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	94	879-2-2 x 904-3ID11	879WKG	2-2	904WPG	3ID11	879-G2 x 904-5ID1	879WKG	G2	904WPG	5ID1	FF	2	JP: fixed crosstype from HF to FF	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	95	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	904-5 x 879-G2ID8	904WPG	5	879WKG	G2ID8	FF	3	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	96	904-3 x 879-10-1ID2	904WPG	3	879WKG	10-1ID2	904-5 x 879-G2ID8	904WPG	5	879WKG	G2ID8	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	97	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	FF	6	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	98	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	FF	4	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	99	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	FF	5	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	100	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	FF	3	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	101	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	FF	6	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	102	879-2-2 x 892-10ID1	879WKG	2-2	892WKG	10ID1	879-10-1 x 892-3ID8	879WKG	10-1	892WKG	3ID8	FF	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	103	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	105	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	106	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	2	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	107	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	120	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	121	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	122	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	124	904-3 x 879-G2ID3	904WPG	3	879WKG	G2ID3	904-2 x 879-2-2ID2	904WPG	2	879WKG	2-2ID2	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	125	892-4 x 879-G2ID2	892WKG	4	879WKG	G2ID2	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	FF	0	NA	FALSE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	127	892-4 x 879-G2ID2	892WKG	4	879WKG	G2ID2	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	FF	5	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	128	892-4 x 879-G2ID2	892WKG	4	879WKG	G2ID2	892-1 x 879-2-2ID1	892WKG	1	879WKG	2-2ID1	FF	1	NA	TRUE	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
