dadgeneration	momgeneration	date	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	crossid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	v	i	vpf	ipf	vp	tpf	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	2018-08-20	892-10 x 879 10-1 ID 1	892WKG	10	879WKG	10-1 ID 1	892-3 x 879 2-2 ID 2	892WKG	3	879WKG	2-2 ID 2	120-2	84	10	90	6	82	9	82	9	70	3	68	2	65	10	66	4	94	3	72	6	77.3	6.2	17176.059999999998	1377.6399999999999	0.925748502994012	18553.699999999997	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-08-20	892-3 x 879 2-2 ID 1	892WKG	3	879WKG	2-2 ID 1	892-10 x 879 10-1 ID 2	892WKG	10	879WKG	10-1 ID 2	131-3	14	14	18	15	10	13	14	10	4	6	11	9	12	10	11	7	12	6	9	7	11.5	9.7	2555.2999999999997	2155.3399999999997	0.5424528301886793	4710.639999999999	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-07-11	892-4 x 879 G-2 ID 2	892WKG	4	879WKG	G-2 ID 2	892-1 x 879 2-2 ID 1	892WKG	1	879WKG	2-2 ID 1	137-2	0	18	1	23	1	29	1	26	1	25	1	21	1	31	3	18	3	18	3	25	1.5	23.4	333.29999999999995	5199.48	0.06024096385542168	5532.78	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-09-05	904-2 x 879 10-1 ID 4	904WPG	2	879WKG	10-1 ID 4	904-3 x 879 G-2 ID 4	904WPG	3	879WKG	G-2 ID 4	145-2	25	20	35	9	31	15	25	10	28	15	25	12	29	27	39	19	26	13	27	17	29	15.7	6443.799999999999	3488.539999999999	0.6487695749440716	9932.339999999998	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-08-20	904-2 x 879 G-2 ID 3	904WPG	2	879WKG	G-2 ID 3	904-5 x 879 10-1 ID 2	904WPG	5	879WKG	10-1 ID 2	153-5	9	5	5	2	2	4	7	0	4	3	4	3	3	2	2	7	6	9	6	5	4.8	4	1066.56	888.8	0.5454545454545454	1955.36	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-08-01	904-3 x 879 10-1 ID 2	904WPG	3	879WKG	10-1 ID 2	904-5 x 879 G-2 ID 8	904WPG	5	879WKG	G-2 ID 8	159-2	1	1	0	1	0	2	0	3	0	4	0	1	0	3	1	1	2	5	1	4	0.5	2.5	111.1	555.5	0.16666666666666666	666.6	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-08-08	904-3 x 879 G-2 ID 3	904WPG	3	879WKG	G-2 ID 3	904-2 x 879 2-2 ID 2	904WPG	2	879WKG	2-2 ID 2	162-2	4	18	3	22	4	21	3	24	4	20	0	26	5	18	2	22	6	26	2	27	3.3	22.4	733.26	4977.28	0.12840466926070038	5710.54	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-07-20	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	904-2 x 879 10-1 ID 3	904WPG	2	879WKG	10-1 ID 3	167-1	23	13	32	23	25	14	30	17	32	23	43	22	32	21	45	32	17	15	28	15	30.7	19.5	6821.539999999999	4332.9	0.6115537848605578	11154.439999999999	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-07-16	904-5 x 879 10-1 ID 1	904WPG	5	879WKG	10-1 ID 1	904-2 x 879 202 ID 5	904WPG	2	879WKG	202 ID 5	177-3	7	8	9	13	11	19	8	24	2	7	6	14	9	11	2	12	2	15	7	8	6.3	13.1	1399.86	2910.8199999999997	0.3247422680412371	4310.679999999999	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
F	F	2018-08-23	904-5 x 879 G-2 ID 3	904WPG	5	879WKG	G-2 ID 3	904-3 x 879 H-2 ID 4	904WPG	3	879WKG	H-2 ID 4	180-1a	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0.3	0	66.66	0	66.66	NA	NA	NA	NA	FF	kaal	hook	kaal	hook	NA	NA	KH	KH	KH x KH
