dadgeneration	momgeneration	momfullcross	mommompop	mommomid	momdadpop	momdadid	dadfullcross	dadmompop	dadmomid	daddadpop	dadadid	pollinationid	crossid	pollendonor	emasculation.date	pollination.date	viable.seeds	inviable.seeds	comments	capsule.formed	mompop	momid	dadpop	dadid	generation	mommomsp	momdadsp	dadmomsp	daddadsp	momsp	dadsp	momcross	dadcross	momdadcross
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	368	49-1	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	369	49-1	H	2019-05-31	2019-06-04	1	1	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	372	49-1	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-1 ID 1	879WKG	10-1	892WKG	1 ID 1	879 2-2 x 892-10 ID 7	879WKG	2-2	892WKG	10 ID 7	373	49-1	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 892-3 ID 9	879WKG	10-1	892WKG	3 ID 9	879 2-2 x 892-4 ID 12	879WKG	2-2	892WKG	4 ID 12	102	54-4	H	2018-11-23	2018-11-27	5	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	367	61-8	H	2019-05-31	2019-06-04	0	0	Capsule aborted before bagging; bagged	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	45	61-8	H	2018-11-09	2018-11-13	13	0	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	363	61-8	H	2019-05-31	2019-06-04	11	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	364	61-8	H	2019-05-31	2019-06-04	0	0	NA	FALSE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
F	F	879 10-1 x 904-5 ID 4	879WKG	10-1	904WPG	5 ID 4	879 G-2 x 904-3 ID 3	879WKG	G-2	904WPG	3 ID 3	365	61-8	H	2019-05-31	2019-06-04	5	2	NA	TRUE	NA	NA	NA	NA	FF	hook	kaal	hook	kaal	NA	NA	HK	HK	HK x HK
