crossid	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	planted	germinated	prop.germ	sxc	sxcxm	mompid	dadpid	smompop	half.germ.day
1	879WKG	2-2	hook	879WKG	G-2	hook	within	52	38	0.7307692307692307	hook.within	hook.within.879.2-2	879.2-2	879.G-2	hook879	54.74636050890571
2	879WKG	2-2	hook	879WKG	10-1	hook	within	36	23	0.6388888888888888	hook.within	hook.within.879.2-2	879.2-2	879.10-1	hook879	22.28243002292489
3	879WKG	2-2	hook	879WKG	N-5	hook	within	37	34	0.918918918918919	hook.within	hook.within.879.2-2	879.2-2	879.N-5	hook879	21.375070115389537
4	879WKG	2-2	hook	WK	2	hook	between	53	48	0.9056603773584906	hook.between	hook.between.879.2-2	879.2-2	794.2	hook879	26.51879192298699
5	879WKG	2-2	hook	WK	4	hook	between	25	21	0.84	hook.between	hook.between.879.2-2	879.2-2	794.4	hook879	15.996300179407914
6	879WKG	2-2	hook	892WKG	1	kaal	hybrid	40	37	0.925	hook.hybrid	hook.hybrid.879.2-2	879.2-2	892.1	hook879	27.201319713756405
7	879WKG	2-2	hook	892WKG	3	kaal	hybrid	3	1	0.3333333333333333	hook.hybrid	hook.hybrid.879.2-2	879.2-2	892.3	hook879	18.001398415998068
8	879WKG	2-2	hook	892WKG	4	kaal	hybrid	44	30	0.6818181818181818	hook.hybrid	hook.hybrid.879.2-2	879.2-2	892.4	hook879	22.875495530301407
9	879WKG	2-2	hook	892WKG	5	kaal	hybrid	31	30	0.967741935483871	hook.hybrid	hook.hybrid.879.2-2	879.2-2	892.5	hook879	19.425133340821244
10	879WKG	2-2	hook	904WPG	2	kaal	hybrid	24	22	0.9166666666666666	hook.hybrid	hook.hybrid.879.2-2	879.2-2	904.2	hook879	21.675592994981095
11	879WKG	2-2	hook	904WPG	3	kaal	hybrid	11	8	0.7272727272727273	hook.hybrid	hook.hybrid.879.2-2	879.2-2	904.3	hook879	23.143966761914267
12	879WKG	2-2	hook	904WPG	5	kaal	hybrid	24	20	0.8333333333333334	hook.hybrid	hook.hybrid.879.2-2	879.2-2	904.5	hook879	26.086495621754715
13	879WKG	2-2	hook	3587WP	7	kaal	hybrid	5	4	0.8	hook.hybrid	hook.hybrid.879.2-2	879.2-2	3587.7	hook879	20.914443381827326
14	879WKG	2-2	hook	3587WP	C	kaal	hybrid	5	5	1	hook.hybrid	hook.hybrid.879.2-2	879.2-2	3587.C	hook879	11.906221840999047
15	879WKG	10-1	hook	879WKG	2-2	hook	within	6	5	0.8333333333333334	hook.within	hook.within.879.10-1	879.10-1	879.2-2	hook879	27.597599990665607
16	879WKG	10-1	hook	879WKG	G-2	hook	within	4	0	0	hook.within	hook.within.879.10-1	879.10-1	879.G-2	hook879	NA
17	879WKG	10-1	hook	879WKG	H-2	hook	within	12	3	0.25	hook.within	hook.within.879.10-1	879.10-1	879.H-2	hook879	22.919757313615534
18	879WKG	10-1	hook	879WKG	N-5	hook	within	8	2	0.25	hook.within	hook.within.879.10-1	879.10-1	879.N-5	hook879	14.903248553957445
19	879WKG	10-1	hook	WK	2	hook	between	28	19	0.6785714285714286	hook.between	hook.between.879.10-1	879.10-1	794.2	hook879	22.516109310205188
20	879WKG	10-1	hook	WK	4	hook	between	25	10	0.4	hook.between	hook.between.879.10-1	879.10-1	794.4	hook879	21.040482617016366
21	879WKG	10-1	hook	WK	2	hook	between	27	22	0.8148148148148148	hook.between	hook.between.879.10-1	879.10-1	866.2	hook879	22.08369102720855
22	879WKG	10-1	hook	WK	2E- 1	hook	between	13	11	0.8461538461538461	hook.between	hook.between.879.10-1	879.10-1	899.2E- 1	hook879	23.70924999711126
23	879WKG	10-1	hook	892WKG	1	kaal	hybrid	16	6	0.375	hook.hybrid	hook.hybrid.879.10-1	879.10-1	892.1	hook879	16.649515408454974
24	879WKG	10-1	hook	892WKG	4	kaal	hybrid	18	11	0.6111111111111112	hook.hybrid	hook.hybrid.879.10-1	879.10-1	892.4	hook879	24.573042055602393
25	879WKG	10-1	hook	892WKG	5	kaal	hybrid	3	0	0	hook.hybrid	hook.hybrid.879.10-1	879.10-1	892.5	hook879	NA
26	879WKG	10-1	hook	904WPG	3	kaal	hybrid	3	3	1	hook.hybrid	hook.hybrid.879.10-1	879.10-1	904.3	hook879	21.178115125242538
27	879WKG	10-1	hook	904WPG	5	kaal	hybrid	3	1	0.3333333333333333	hook.hybrid	hook.hybrid.879.10-1	879.10-1	904.5	hook879	14.004103603633721
28	879WKG	10-1	hook	3587WP	7	kaal	hybrid	11	8	0.7272727272727273	hook.hybrid	hook.hybrid.879.10-1	879.10-1	3587.7	hook879	18.207806753153232
29	879WKG	10-1	hook	3587WP	15	kaal	hybrid	18	15	0.8333333333333334	hook.hybrid	hook.hybrid.879.10-1	879.10-1	3587.15	hook879	24.36237025897378
