"cross"	"mompop"	"momid"	"dadpop"	"dadid"	"momsp"	"dadsp"	"mombs"	"dadbs"	"crosstype"	"notes"
2	847	"B"	794	3	"adam"	"hook"	"d"	"h"	3	
3	847	"B"	794	3	"adam"	"hook"	"d"	"h"	3	
6	847	"B"	794	3	"adam"	"hook"	"d"	"h"	3	
7	847	"B"	794	3	"adam"	"hook"	"d"	"h"	3	
9	847	"B"	794	3	"adam"	"hook"	"d"	"h"	3	
11	847	"B"	842	1	"adam"	"sali"	"d"	"d"	4	
12	847	"B"	842	1	"adam"	"sali"	"d"	"d"	4	"Notes say might be 844 7-130 x 791-17C (glob x keal)"
15	847	"B"	842	1	"adam"	"sali"	"d"	"d"	4	
21	847	"B"	847	5	"adam"	"adam"	"d"	"d"	4	
23	847	"B"	791	14	"adam"	"keal"	"d"	"d"	4	
30	847	"B"	791	14	"adam"	"keal"	"d"	"d"	4	
33	847	"B"	844	"12-4"	"adam"	"glob"	"d"	"d"	4	
45	847	"B"	844	"12-3"	"adam"	"glob"	"d"	"d"	4	
54	847	"B"	846		"adam"	"ligu"	"d"	"d"	4	
66	847	"B"	791	16	"adam"	"keal"	"d"	"d"	4	
75	847	"B"	793	1	"adam"	"mann"	"d"	"d"	4	
80	791	7	794	3	"keal"	"hook"	"d"	"h"	3	
90	791	7	791	14	"keal"	"keal"	"d"	"d"	4	
99	791	7	844	"4-22"	"keal"	"glob"	"d"	"d"	4	
108	791	7	842	2	"keal"	"sali"	"d"	"d"	4	
116	791	7	846		"keal"	"ligu"	"d"	"d"	4	
124	791	7	847	1	"keal"	"adam"	"d"	"d"	4	
133	791	7	793	1	"keal"	"mann"	"d"	"d"	4	
141	844	"4-59"	794	1	"glob"	"hook"	"d"	"h"	3	
148	844	"4-59"	791	1	"glob"	"keal"	"d"	"d"	4	
155	844	"4-59"	847	1	"glob"	"adam"	"d"	"d"	4	
165	844	"4-59"	844	"12-11"	"glob"	"glob"	"d"	"d"	4	
178	844	"4-59"	846		"glob"	"ligu"	"d"	"d"	4	
200	848	"1-1"	844	"8-4"	"diff"	"glob"	"h"	"d"	2	
201	848	"1-1"	846	2	"diff"	"ligu"	"h"	"d"	2	
202	848	"1-1"	847	"C"	"diff"	"adam"	"h"	"d"	2	
203	848	"1-1"	847	"C"	"diff"	"adam"	"h"	"d"	2	
205	848	"1-3"	791	"1A"	"diff"	"keal"	"h"	"d"	2	
209	794	1	842	1	"hook"	"sali"	"h"	"d"	2	
210	794	1	842	1	"hook"	"sali"	"h"	"d"	2	
220	794	3	842	5	"hook"	"sali"	"h"	"d"	2	
301	844	"4-59"	867	"F#31"	"glob"	"lych"	"d"	"h"	3	"F=Flynn"
302	844	"4-59"	865		"glob"	"apok"	"d"	"d"	4	
303	844	"4-59"			"glob"	"kaal"	"d"	"h"	3	
304	844	"4-59"	842	1	"glob"	"sali"	"d"	"d"	4	
305	844	"4-59"	861		"glob"	"nutt"	"d"	"h"	3	
