crossid	plantid	cross.manual	block1	blockAB	collect.date	regression	flrs	inflo.e	inflo	weigh.date	inflo.biomass.g	initials	check.initials	check.date	comments	use.inflo	linenum	collect	flrs.per.inflo.biomass.g	mompop	momid	momsp	dadpop	dadid	dadclone	dadsp	crosstype	cross	fullcross	edits	sxc	sxcxm	mompid	dadpid	smompop
1	1	HH	12	NA	2017-02-14	No R	NA	1	1	2017-07-14	0.053	SS	AK	2017-08-15	NA	NA	1	341	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	2	HH	12	NA	2017-02-17	No R	NA	4	4	2017-05-18	0.075	SS	AK	2017-08-15	NA	NA	2	344	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	4	HH	11	NA	2017-02-11	No R	NA	10	10	2017-07-14	1.113	SS	AK	2017-08-15	NA	NA	3	338	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	7	HH	12	NA	2017-02-18	No R	NA	7	7	2017-07-20	0.44	SS	AK	2017-08-15	NA	NA	4	345	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	8	HH	12	NA	2017-01-20	Infls-Rplt	NA	31	32	2017-07-10	2.14	SS	AK	2017-08-15	NA	NA	5	316	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	8	HH	12	NA	2017-01-20	Regress	41	1	NA	2017-07-10	0.099	SS	AK	2017-08-15	NA	NA	6	316	414.14141414141415	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	10	HH	12	NA	2017-02-08	Infls-Rplt	NA	3	4	2017-05-18	0.082	SS	AK	2017-08-15	corrected 9/12	NA	7	335	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	10	HH	12	NA	2017-02-08	Regress	34	1	NA	2017-06-30	0.072	SS	AK	2017-08-15	NA	NA	8	335	472.2222222222223	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	11	HH	12	NA	2017-02-19	No R	NA	6	6	2017-07-24	0.497	SS	AK	2017-08-15	NA	NA	9	346	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
1	12	HH	12	NA	2017-01-27	Infls-Rplt	NA	10	11	2017-07-10	0.865	SS	AK	2017-08-15	NA	NA	10	323	NA	879WKG	2-2	hook	879WKG	G-2	NA	hook	within	HH	879-2-2 x 879-G-2	NA	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.G-2	hook879WKG
