set	id	date	cell	fullcross	mompop	momid	dadpop	dadid	V1	I1	V2	I2	V3	I3	V4	I4	V5	I5	V6	I6	V7	I7	V8	I8	V9	I9	V10	I10	crosstype	comments	v	i	vpf	ipf	vp	tpf	momsp	dadsp	cross	sxc	sxcxm	mompid	smompop
2	6	2015-10-19	3	879 2-2 x 892-4	879WKG	2-2	892WKG	4	30	28	24	42	26	33	30	28	24	37	26	35	37	45	40	43	38	25	33	57	hybrid	NA	30.8	37.3	6843.76	8288.06	0.4522760646108664	15131.82	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	8	2016-08-17	8	879 2-2 x 892-4	879WKG	2-2	892WKG	4	17	54	2	29	9	43	10	50	10	41	14	43	7	54	14	59	14	50	12	54	hybrid	NA	10.9	47.7	2421.98	10598.94	0.18600682593856654	13020.92	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	12	2016-08-09	2	879 2-2 x 892-4	879WKG	2-2	892WKG	4	13	40	20	27	5	23	6	37	12	36	7	49	7	42	8	44	8	37	14	44	hybrid	NA	10	37.9	2222	8421.38	0.20876826722338207	10643.38	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	2	2015-10-13	5	879 2-2 x 892-10	879WKG	2-2	892WKG	10	16	43	18	46	17	57	21	36	13	57	13	39	22	55	15	47	23	65	14	37	hybrid	NA	17.2	48.2	3821.8399999999997	10710.04	0.2629969418960244	14531.880000000001	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	6	2016-08-09	3	879 2-2 x 892-10	879WKG	2-2	892WKG	10	20	36	11	35	12	34	24	47	10	32	12	21	13	37	8	27	26	43	12	39	hybrid	NA	14.8	35.1	3288.56	7799.22	0.29659318637274545	11087.78	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	7	2016-08-12	1	879 2-2 x 892-10	879WKG	2-2	892WKG	10	3	42	6	31	0	33	6	23	4	35	5	26	1	33	2	29	1	32	2	33	hybrid	NA	3	31.7	666.5999999999999	7043.74	0.08645533141210374	7710.34	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	10	2015-10-12	3	879 2-2 x 892-10	879WKG	2-2	892WKG	10	26	35	21	35	24	21	30	44	19	30	30	28	31	25	15	46	24	42	33	37	hybrid	NA	25.3	34.3	5621.66	7621.459999999999	0.42449664429530204	13243.119999999999	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	10	2015-11-03	3	879 2-2 x 892-10	879WKG	2-2	892WKG	10	26	43	50	37	24	27	49	37	40	32	41	28	31	31	30	30	44	57	50	49	hybrid	NA	38.5	37.1	8554.699999999999	8243.62	0.5092592592592592	16798.32	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	16	2015-10-12	4	879 2-2 x 892-10	879WKG	2-2	892WKG	10	24	62	18	71	12	59	15	53	9	27	19	47	15	43	24	40	7	53	14	47	hybrid	NA	15.7	50.2	3488.539999999999	11154.439999999999	0.23823975720789073	14642.979999999998	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
NA	20	2015-10-16	NA	879 2-2 x 892-10	879WKG	2-2	892WKG	10	5	42	6	68	4	36	5	55	5	48	5	50	2	60	6	42	4	69	7	59	hybrid	NA	4.9	52.9	1088.78	11754.38	0.0847750865051903	12843.16	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	1	2016-09-02	1	879 2-2 x 904-3	879WKG	2-2	904WPG	3	15	8	17	21	9	11	17	34	30	27	28	33	32	33	27	28	24	21	30	25	hybrid	NA	22.9	24.1	5088.379999999999	5355.02	0.4872340425531914	10443.4	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
1	6	2015-10-21	1	879 2-2 x 904-3	879WKG	2-2	904WPG	3	7	48	8	59	2	38	8	66	4	53	4	58	7	59	4	60	7	65	12	53	hybrid	NA	6.3	55.9	1399.86	12420.98	0.1012861736334405	13820.84	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	1	2015-11-03	5	879 2-2 x 904-5	879WKG	2-2	904WPG	5	19	24	33	38	31	27	50	28	27	34	38	34	17	30	28	26	19	30	28	34	hybrid	NA	29	30.5	6443.799999999999	6777.0999999999995	0.4873949579831933	13220.899999999998	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	3	2016-08-23	4	879 2-2 x 904-5	879WKG	2-2	904WPG	5	37	56	40	48	29	63	49	40	27	43	21	33	32	38	35	43	31	29	22	18	hybrid	NA	32.3	41.1	7177.0599999999995	9132.42	0.44005449591280654	16309.48	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
2	5	2015-10-19	2	879 2-2 x 904-5	879WKG	2-2	904WPG	5	7	79	3	78	5	78	3	67	2	42	2	42	4	70	6	79	3	67	2	61	hybrid	NA	3.7	66.3	822.14	14731.859999999999	0.05285714285714286	15553.999999999998	hook	kaal	HK	hook.hybrid	hook.hybrid.879.2-2	879.2-2	hook879
