momsp	momid	seeds_intra	germ_intra	surv_intra	seeds_mixed	germ_mixed	surv_mixed	seeds_inter	germ_inter	surv_inter
menziesii	8491223	1	1	NA	1	1	1	3	2	2
menziesii	84914C	NA	NA	NA	NA	NA	NA	1	NA	NA
menziesii	8491713	1	1	1	NA	NA	NA	NA	NA	NA
menziesii	849417	NA	NA	NA	2	2	2	2	3	3
menziesii	8495739	NA	NA	NA	1	1	1	2	2	2
menziesii	84957C	NA	NA	NA	NA	NA	NA	1	1	1
menziesii	84961A	NA	NA	NA	NA	NA	NA	1	1	1
menziesii	849772	NA	NA	NA	NA	NA	NA	NA	1	2
menziesii	849772H	NA	NA	NA	NA	NA	NA	2	NA	NA
menziesii	84983A	NA	NA	NA	NA	NA	NA	2	2	2
menziesii	84989E	NA	NA	NA	1	2	2	2	1	1
menziesii	84993C	1	1	1	2	2	2	1	1	1
menziesii	9504062	1	1	1	NA	NA	NA	2	2	2
menziesii	9504102	NA	NA	NA	2	7	1	NA	NA	NA
menziesii	9504291	1	1	1	2	1	1	2	2	2
menziesii	9504422	NA	NA	NA	NA	NA	NA	2	NA	NA
menziesii	950501	NA	NA	NA	NA	NA	NA	1	NA	NA
menziesii	95050136	NA	NA	NA	NA	NA	NA	1	NA	NA
salicaria	8421085	NA	NA	NA	1	1	1	NA	NA	NA
salicaria	84213956	NA	NA	NA	1	1	1	NA	NA	NA
salicaria	8421433	NA	NA	NA	2	2	2	NA	NA	1
salicaria	842151E	1	1	1	NA	NA	NA	2	NA	NA
salicaria	84216121	NA	NA	NA	NA	NA	NA	1	NA	NA
salicaria	84216221	2	1	1	NA	NA	NA	1	NA	NA
salicaria	84216723	NA	NA	NA	1	1	1	NA	NA	NA
salicaria	84216754	NA	NA	NA	NA	NA	NA	NA	1	1
salicaria	84216923	NA	1	1	NA	NA	NA	NA	NA	NA
salicaria	84217237	NA	NA	NA	2	1	1	NA	NA	NA
salicaria	84217337	NA	NA	NA	1	NA	NA	NA	NA	NA
salicaria	8421951	NA	NA	NA	1	1	1	NA	1	1
salicaria	84220145	NA	NA	NA	NA	NA	NA	NA	2	2
salicaria	84220146	NA	NA	NA	2	NA	1	NA	NA	NA
salicaria	8422123	NA	NA	NA	NA	NA	NA	2	2	2
salicaria	8422152	NA	NA	NA	NA	NA	NA	1	1	1
salicaria	84222127	NA	NA	NA	1	1	1	NA	NA	NA
salicaria	842221F	1	1	1	NA	NA	NA	1	NA	NA
salicaria	842223	NA	NA	NA	1	1	1	NA	NA	NA
salicaria	84224131	NA	1	1	NA	NA	NA	NA	NA	NA
salicaria	84224131F	1	NA	NA	NA	NA	NA	NA	NA	NA
salicaria	8423715	NA	NA	NA	1	1	1	NA	2	2
salicaria	84243a41	NA	NA	NA	NA	NA	NA	NA	1	1
salicaria	8425120	1	1	1	NA	NA	NA	1	NA	NA
salicaria	842691F	NA	NA	NA	NA	NA	NA	NA	1	1
salicaria	8428019	NA	NA	NA	NA	1	1	NA	NA	NA
salicaria	8428120	NA	NA	NA	NA	NA	NA	1	NA	NA
salicaria	8428638	NA	NA	NA	NA	1	1	NA	NA	NA
salicaria	842958	NA	NA	NA	NA	NA	NA	NA	1	1
lydgatei	6682041	1	NA	NA	NA	NA	NA	NA	NA	NA
lydgatei	66822041	1	1	1	NA	NA	NA	2	2	2
lydgatei	66822092	NA	NA	NA	NA	NA	NA	2	2	2
lydgatei	66822121	1	NA	NA	1	1	1	3	2	2
lydgatei	66822171	1	1	1	1	1	1	1	1	1
lydgatei	66822221	1	1	1	1	1	1	NA	NA	NA
lydgatei	66822231	NA	NA	NA	NA	NA	NA	3	3	3
lydgatei	66822292	NA	NA	NA	NA	NA	NA	5	3	3
lydgatei	66822332	1	1	1	1	1	1	2	2	2
lydgatei	66822341	NA	NA	NA	NA	NA	NA	3	2	2
lydgatei	66822352	1	1	1	1	1	1	2	2	2
sarmentosa	8961221	1	NA	NA	NA	NA	NA	1	NA	NA
sarmentosa	8961222	NA	NA	NA	NA	1	2	NA	1	1
sarmentosa	896123	1	1	1	NA	1	1	1	2	2
sarmentosa	89612316	1	1	1	NA	2	1	1	2	2
sarmentosa	896123LS7	1	NA	NA	NA	NA	NA	1	NA	NA
sarmentosa	896143	NA	NA	NA	NA	NA	NA	1	NA	NA
sarmentosa	89682	NA	NA	NA	NA	1	1	NA	2	2
stellarioides	10CC2x6GC1(SS1010)	1	NA	NA	NA	NA	NA	NA	NA	NA
stellarioides	10CC2x6GC1(SS1029)	2	NA	NA	NA	NA	NA	NA	NA	NA
stellarioides	10CC2x6GC1(SS1043)	2	NA	NA	NA	NA	NA	NA	NA	NA
stellarioides	1465110C	1	1	1	1	1	1	1	NA	2
stellarioides	146513B	1	NA	NA	NA	NA	NA	3	2	2
stellarioides	1476510C	NA	NA	NA	1	1	1	2	1	NA
stellarioides	1476514B	NA	NA	NA	1	2	2	2	NA	1
stellarioides	1476514B1G	NA	NA	NA	1	NA	NA	NA	NA	NA
stellarioides	1476520J	NA	NA	NA	1	1	1	3	1	2
stellarioides	147654E	NA	1	NA	1	1	1	NA	NA	NA
