vial,line,cross,hr,momid,dadid,pollination_date,mid,bottom,grains,notes
1A,198,KxH,4,140-6,879 N-5,2018-06-29,11,0,,
1B,198,KxH,4,140-6,879 N-5,2018-06-29,10,3,,
1C,198,KxH,4,140-6,879 N-5,2018-06-29,7,0,,
2,199,KxH,4,140-6,879 N-5,2018-06-29,2,0,,
3A,203,KxH,4,140-6,879 N-5,2018-06-29,1,0,,
3B,203,KxH,4,140-6,879 N-5,2018-06-29,0,0,,
3C,203,KxH,4,140-6,879 N-5,2018-06-29,2,0,,
4A,207,KxH,4,140-6,879 N-5,2018-06-29,2,0,,
4B,207,KxH,4,140-6,879 N-5,2018-06-29,1,1,,
4C,207,KxH,4,140-6,879 N-5,2018-06-29,1,0,,
5A,208,KxH,4,140-6,879 N-5,2018-06-29,7,0,,
5B,208,KxH,4,140-6,879 N-5,2018-06-29,9,0,,
5C,208,KxH,4,140-6,879 N-5,2018-06-29,1,0,,
6A,202,KxH,24,140-6,879 N-5,2018-06-29,8,4,,
6B,202,KxH,24,140-6,879 N-5,2018-06-29,5,3,,
6C,202,KxH,24,140-6,879 N-5,2018-06-29,6,2,,
7A,207,KxH,24,140-6,879 N-5,2018-06-29,8,5,,
7B,207,KxH,24,140-6,879 N-5,2018-06-29,9,7,,
7C,207,KxH,24,140-6,879 N-5,2018-06-29,6,4,,
7D,207,KxH,24,140-6,879 N-5,2018-06-29,6,6,,
8,205,KxH,24,140-6,879 N-5,2018-06-29,6,6,,
9A,209,KxH,4,116-3,879 N-5,2018-07-16,0,0,,"JP: two dadids for this vial and pollination number, and pop 892 is kaalae, so changed dadid 892-1 > 879 N-5"
9B,209,KxH,4,116-3,879 N-5,2018-07-16,0,0,,
10A,210,KxH,4,116-3,879 N-5,2018-07-16,6,0,,
10B,210,KxH,4,116-3,879 N-5,2018-07-16,5,0,,
10C,210,KxH,4,116-3,879 N-5,2018-07-16,2,0,,
11,212,KxH,4,116-3,879 N-5,2018-07-16,2,0,,
12A,217,KxH,4,116-3,879 N-5,2018-07-16,1,0,,
12B,217,KxH,4,116-3,879 N-5,2018-07-16,1,0,,
12C,217,KxH,4,116-3,879 N-5,2018-07-16,0,0,,
14A,221,KxH,4,116-3,879 N-5,2018-07-16,4,0,,
14B,221,KxH,4,116-3,879 N-5,2018-07-16,1,0,,
15A,226,KxH,24,116-3,879 N-5,2018-07-16,5,2,,
15B,226,KxH,24,116-3,879 N-5,2018-07-16,4,2,,
16A,223,KxH,24,116-3,879 N-5,2018-07-16,3,0,,
16B,223,KxH,24,116-3,879 N-5,2018-07-16,7,3,,
16C,223,KxH,24,116-3,879 N-5,2018-07-16,8,8,,
17A,222,KxH,24,116-3,879 N-5,2018-07-16,3,1,,
17B,222,KxH,24,116-3,879 N-5,2018-07-16,2,3,,
17C,222,KxH,24,116-3,879 N-5,2018-07-16,3,2,,
18A,216,KxH,24,116-3,879 N-5,2018-07-16,6,3,,
18B,216,KxH,24,116-3,879 N-5,2018-07-16,5,2,,
19A,242,HxH,4,879 2-2,879-2,2018-07-27,2,0,,JP: changed cross HxK > HxH
19B,242,HxH,4,879 2-2,879-2,2018-07-27,1,0,,JP: changed cross HxK > HxH
19C,242,HxH,4,879 2-2,879-2,2018-07-27,0,0,,JP: changed cross HxK > HxH
20A,243,HxH,4,879 2-2,879-2,2018-07-27,1,0,,JP: changed cross HxK > HxH
20B,243,HxH,4,879 2-2,879-2,2018-07-27,1,0,,JP: changed cross HxK > HxH
20C,243,HxH,4,879 2-2,879-2,2018-07-27,0,0,,JP: changed cross HxK > HxH
20D,243,HxH,4,879 2-2,879-2,2018-07-27,1,0,,JP: changed cross HxK > HxH
21A,244,HxH,4,879 2-2,879-2,2018-07-27,1,0,,JP: changed cross HxK > HxH
21B,244,HxH,4,879 2-2,879-2,2018-07-27,0,0,,JP: changed cross HxK > HxH
21C,244,HxH,4,879 2-2,879-2,2018-07-27,1,0,,JP: changed cross HxK > HxH
22A,245,HxH,4,879 2-2,879-2,2018-07-27,2,0,,JP: changed cross HxK > HxH
22B,245,HxH,4,879 2-2,879-2,2018-07-27,2,0,,JP: changed cross HxK > HxH
22C,245,HxH,4,879 2-2,879-2,2018-07-27,2,0,,JP: changed cross HxK > HxH
22D,245,HxH,4,879 2-2,879-2,2018-07-27,2,0,,JP: changed cross HxK > HxH
22E,245,HxH,4,879 2-2,879-2,2018-07-27,0,0,,JP: changed cross HxK > HxH
23A,247,HxK,4,879 2-2,140-6,2018-07-27,1,0,,
23B,247,HxK,4,879 2-2,140-6,2018-07-27,0,0,,
24A,246,HxK,4,879 2-2,140-6,2018-07-27,0,0,,
24B,246,HxK,4,879 2-2,140-6,2018-07-27,2,0,,
24C,246,HxK,4,879 2-2,140-6,2018-07-27,1,0,,
25A,248,HxK,4,879 2-2,892-5,2018-07-27,2,0,,
25B,248,HxK,4,879 2-2,892-5,2018-07-27,1,0,,
25C,248,HxK,4,879 2-2,892-5,2018-07-27,1,0,,
26A,232,HxH,24,879 N-5,879-2,2018-07-27,9,11,,JP: changed cross HxK > HxH
26B,232,HxH,24,879 N-5,879-2,2018-07-27,5,7,,JP: changed cross HxK > HxH
26C,232,HxH,24,879 N-5,879-2,2018-07-27,8,7,,JP: changed cross HxK > HxH
