line,emasculation_date,pollination_date,momsp,momid,dadsp,dadid,vial,hr,count_date,mid_1,mid_2,mid_3,mid_4,mid_5,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,notes
1,2022-01-07,2022-01-10,hook,866-1,hook,794-2,112,4,2022-03-01,0,0,2,,,0,0,1,,,
2,2022-01-07,2022-01-10,hook,866-1,hook,794-2,113,4,2022-03-01,0,0,0,,,0,0,0,,,
3,2022-01-07,2022-01-10,hook,866-1,hook,794-2,114,24,2022-03-01,4,4,,,,3,5,,,,
4,2022-01-07,2022-01-10,hook,866-1,hook,794-2,115,24,2022-03-01,5,5,,,,9,4,,,,
5,2022-01-07,2022-01-10,hook,866-1,kaal,116-1,116,4,2022-03-01,0,0,0,,,0,0,0,,,
6,2022-01-07,2022-01-10,hook,866-1,kaal,116-1,117,4,2022-03-01,0,0,0,,,0,0,0,,,
7,2022-01-07,2022-01-10,hook,866-1,kaal,116-1,118,24,2022-03-01,3,1,2,,,0,0,0,,,
8,2022-01-07,2022-01-10,hook,866-1,kaal,116-1,119,24,2022-03-01,2,1,2,,,0,0,0,,,
9,2022-01-07,2022-01-10,hook,866-1,hook,899 2E-1,120,4,2022-03-01,1,0,0,,,0,0,0,,,
10,2022-01-07,2022-01-10,hook,866-1,hook,899 2E-1,121,4,2022-03-01,0,0,0,,,0,0,0,,,
11,2022-01-07,2022-01-10,hook,866-1,hook,899 2E-1,122,24,2022-03-01,3,5,4,,,2,5,3,,,
12,2022-01-07,2022-01-10,hook,866-1,hook,899 2E-1,123,24,2022-03-01,4,5,4,,,4,4,5,,,
13,2022-01-07,2022-01-10,hook,866-1,kaal,116-2,124,4,2022-03-01,0,0,0,,,0,0,0,,,
14,2022-01-07,2022-01-10,hook,866-1,kaal,116-2,125,4,2022-03-01,0,0,0,,,0,0,0,,,
15,2022-01-07,2022-01-10,hook,866-1,kaal,116-2,126,24,2022-03-01,2,2,2,,,0,1,0,,,
16,2022-01-07,2022-01-10,hook,866-1,kaal,116-2,127,24,2022-03-01,1,2,0,,,0,0,0,,,
17,2022-01-14,2022-01-17,hook,794-2,hook,866-2,166,4,2022-02-28,4,3,6,,,0,0,1,,,
18,2022-01-14,2022-01-17,hook,794-2,hook,866-2,167,4,2022-02-28,5,4,5,,,0,0,1,,,
19,2022-01-14,2022-01-17,hook,794-2,hook,866-2,168,24,2022-02-28,6,5,5,,,4,4,3,,,
20,2022-01-14,2022-01-17,hook,794-2,hook,866-2,169,24,2022-02-28,5,5,3,,,4,8,4,,,
21,2022-01-14,2022-01-17,hook,794-2,kaal,116-1,170,4,2022-02-28,2,2,3,,,1,0,0,,,
22,2022-01-14,2022-01-17,hook,794-2,kaal,116-1,171,4,2022-02-28,3,3,3,,,2,0,1,,,
23,2022-01-14,2022-01-17,hook,794-2,kaal,116-1,172,24,2022-02-28,3,3,5,,,4,1,2,,,
24,2022-01-14,2022-01-17,hook,794-2,kaal,116-1,173,24,2022-02-28,4,3,3,4,,1,1,2,3,,
25,2022-01-14,2022-01-17,hook,794-2,hook,899 2E-1,175,4,2022-02-28,3,3,3,,,0,2,3,,,
26,2022-01-14,2022-01-17,hook,794-2,hook,899 2E-1,176,4,2022-02-28,3,5,5,,,2,0,0,,,
27,2022-01-14,2022-01-17,hook,794-2,hook,899 2E-1,177,24,2022-02-28,9,11,6,6,,6,7,7,3,,
28,2022-01-14,2022-01-17,hook,794-2,hook,899 2E-1,178,24,2022-02-28,5,8,10,,,4,6,3,,,
29,2022-01-14,2022-01-17,hook,794-2,kaal,892-5,179,4,2022-02-28,0,2,2,2,,0,1,1,1,,
30,2022-01-14,2022-01-17,hook,794-2,kaal,892-5,180,4,2022-02-28,0,2,0,0,,0,1,0,0,,
31,2022-01-14,2022-01-17,hook,794-2,kaal,892-5,181,24,2022-02-28,7,3,4,,,4,1,4,,,
32,2022-01-14,2022-01-17,hook,794-2,kaal,892-5,182,24,2022-02-28,4,5,2,,,2,3,2,,,
33,2022-02-10,2022-02-13,hook,899 2E-1,hook,866-2,323,4,2022-03-05,2,2,0,,,0,0,0,,,
34,2022-02-10,2022-02-13,hook,899 2E-1,hook,866-2,324,4,2022-03-05,6,7,9,,,1,3,2,,,
35,2022-02-10,2022-02-13,hook,899 2E-1,hook,866-2,325,24,2022-03-05,8,9,9,,,9,8,6,,,
36,2022-02-10,2022-02-13,hook,899 2E-1,hook,866-2,326,24,2022-03-05,11,8,5,,,6,6,4,,,
37,2022-02-10,2022-02-13,hook,899 2E-1,kaal,116-3,327,4,2022-03-05,0,4,3,,,0,0,0,,,
38,2022-02-10,2022-02-13,hook,899 2E-1,kaal,116-3,328,4,2022-03-05,4,4,5,,,1,2,1,,,
39,2022-02-10,2022-02-13,hook,899 2E-1,kaal,116-3,329,24,2022-03-05,8,9,9,7,,4,4,4,,,JP: missing bottom_4
40,2022-02-10,2022-02-13,hook,899 2E-1,kaal,116-3,330,24,2022-03-05,9,8,10,6,4,3,4,4,7,5,
41,2022-02-10,2022-02-13,hook,899 2E-1,hook,794-2,331,4,2022-03-05,5,5,9,,,4,1,6,1,,
42,2022-02-10,2022-02-13,hook,899 2E-1,hook,794-2,332,4,2022-03-05,7,8,4,,,1,4,3,8,,
43,2022-02-10,2022-02-13,hook,899 2E-1,hook,794-2,333,24,2022-03-05,9,8,12,,,5,16,10,,,
44,2022-02-10,2022-02-13,hook,899 2E-1,hook,794-2,334,24,2022-03-05,5,5,5,,,6,3,4,,,
45,2022-02-10,2022-02-13,hook,899 2E-1,kaal,892-4,402,4,2022-03-05,3,1,5,,,2,0,1,,,
46,2022-02-10,2022-02-13,hook,899 2E-1,kaal,892-4,403,4,2022-03-05,3,2,3,,,0,1,0,,,
47,2022-02-10,2022-02-13,hook,899 2E-1,kaal,892-4,404,24,2022-03-05,8,5,4,,,5,2,3,,,
48,2022-02-10,2022-02-13,hook,899 2E-1,kaal,892-4,405,24,2022-03-05,5,4,9,,,3,1,3,,,
