line,emasculation_date,pollination_date,mompop,momplant,dadpop,dadplant,hr,vial,mid,bottom,keep
2,2020-07-10,2020-07-13,6682,235-2,6682,234-1,4,1,12,12,1
3,2020-07-10,2020-07-13,6682,235-2,6682,234-1,4,1,4,3,1
4,2020-07-10,2020-07-13,6682,235-2,6682,234-1,24,2,13,11,1
5,2020-07-10,2020-07-13,6682,235-2,6682,234-1,24,2,3,4,1
6,2020-07-10,2020-07-13,6682,235-2,6682,233-2,4,3,5,5,1
7,2020-07-10,2020-07-13,6682,235-2,6682,233-2,4,3,7,7,1
8,2020-07-10,2020-07-13,6682,235-2,6682,233-2,24,4,12,12,1
9,2020-07-10,2020-07-13,6682,235-2,6682,233-2,24,4,7,7,1
10,2020-07-10,2020-07-13,6682,235-2,896,17-5,4,5,9,6,1
11,2020-07-10,2020-07-13,6682,235-2,896,17-5,4,5,9,5,1
12,2020-07-10,2020-07-13,6682,235-2,896,17-5,24,6,5,5,1
13,2020-07-10,2020-07-13,6682,235-2,896,17-5,24,6,4,4,1
14,2020-07-10,2020-07-13,6682,235-2,896,0107-1-6,4,7,8,4,1
15,2020-07-10,2020-07-13,6682,235-2,896,0107-1-6,4,7,12,11,1
16,2020-07-10,2020-07-13,6682,235-2,896,0107-1-6,24,8,6,6,0
17,2020-07-18,2020-07-21,6682,235-2,896,0107-1-6,24,8.5,3,3,1
18,2020-07-18,2020-07-21,6682,235-2,896,0107-1-6,24,8.5,13,18,1
20,2020-07-13,2020-07-16,6682,222-1,6682,204-1,2,9,0,0,0
21,2020-07-13,2020-07-16,6682,222-1,6682,204-1,2,9,0,0,0
22,2020-07-18,2020-07-21,6682,222-1,6682,204-1,4,9.5,9,8,1
23,2020-07-18,2020-07-21,6682,222-1,6682,204-1,4,9.5,11,11,1
24,2020-07-13,2020-07-16,6682,222-1,6682,204-1,24,10,11,12,1
25,2020-07-13,2020-07-16,6682,222-1,6682,204-1,24,10,13,20,1
26,2020-07-13,2020-07-16,6682,222-1,6682,217-1,2,11,0,0,0
27,2020-07-13,2020-07-16,6682,222-1,6682,217-1,2,11,0,0,0
28,2020-07-24,2020-07-27,6682,222-1,6682,217-1,4,11.5,11,0,1
29,2020-07-24,2020-07-27,6682,222-1,6682,217-1,4,11.5,3,0,1
30,2020-07-24,2020-07-27,6682,222-1,6682,217-1,24,12,8,5,1
31,2020-07-24,2020-07-27,6682,222-1,6682,217-1,24,12,6,5,1
32,2020-07-13,2020-07-16,6682,222-1,896,14-3,2,13,0,0,0
33,2020-07-13,2020-07-16,6682,222-1,896,14-3,2,13,0,0,0
34,2020-07-24,2020-07-27,6682,222-1,896,14-3,4,13.5,1,0,1
35,2020-07-24,2020-07-27,6682,222-1,896,14-3,4,13.5,9,2,1
