line,emasculation_date,pollination_date,momsp,momplant,dadsp,dadplant,vial,hr,count_date,mid_1,mid_2,mid_3,mid_4,mid_5,bottom_1,bottom_2,bottom_3,bottom_4,bottom_5,notes,status
1,2020-12-05,2020-12-08,mem,mem#2x201-11#2,864,mem#2x201-11#7,363,4,2021-12-01,1,,,,,0,,,,,,
2,2020-12-05,2020-12-08,mem,mem#2x201-11#2,864,mem#2x201-11#7,364,4,2021-12-01,,,,,,,,,,,,no replicate cross
3,2020-12-05,2020-12-08,mem,mem#2x201-11#2,864,mem#2x201-11#7,365,24,2021-12-01,4,2,3,5,5,4,6,5,4,3,,
4,2020-12-05,2020-12-08,mem,mem#2x201-11#2,864,mem#2x201-11#7,366,24,2021-12-01,5,5,5,,,4,7,4,,,,
5,2020-12-05,2020-12-08,mem,mem#2x201-11#2,kaua,1ax234-1#10,367,4,2021-12-01,0,4,1,,,0,0,0,,,,
6,2020-12-05,2020-12-08,mem,mem#2x201-11#2,kaua,1ax234-1#10,368,4,2021-12-01,,,,,,,,,,,"JP: missing data, no yellow or red fill, no polllen on stigmas?",no pollen on stigmas
7,2020-12-05,2020-12-08,mem,mem#2x201-11#2,kaua,1ax234-1#10,369,24,2021-12-01,4,4,5,4,,0,1,0,0,,,
8,2020-12-05,2020-12-08,mem,mem#2x201-11#2,kaua,1ax234-1#10,379,24,2021-12-01,3,2,3,3,,0,0,0,0,,,
9,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,Prog2x525-1#9,889,4,2021-12-03,2,5,4,6,,0,0,0,0,,,
10,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,Prog2x525-1#9,890,4,2021-12-03,3,2,1,,,3,0,0,,,,
11,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,Prog2x525-1#9,891,24,2021-12-03,8,6,6,,,6,6,6,,,,
12,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,Prog2x525-1#9,892,24,2021-12-03,3,3,1,,,7,5,0,,,,
13,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,5x9c-7,893,4,2021-12-03,0,,,,,0,,,,,JP: changed dadplant _ > -,
14,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,5x9c-7,894,4,2021-12-03,0,0,0,,,0,0,0,,,JP: changed dadplant _ > -,
15,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,5x9c-7,895,24,2021-12-03,4,7,7,,,3,4,3,,,JP: changed dadplant _ > -,
16,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,5x9c-7,896,24,2021-12-03,7,6,6,,,4,2,3,,,JP: changed dadplant _ > -,
17,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,1ax234-1#5,897,4,2021-12-05,5,5,4,,,0,0,0,,,,
18,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,1ax234-1#5,898,4,2021-12-05,1,,,,,0,,,,,,
19,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,1ax234-1#5,899,24,2021-12-05,5,5,7,,,4,8,7,,,,
20,2021-03-28,2021-03-31,kaua,1ax234-1#7,kaua,1ax234-1#5,900,24,2021-12-05,8,6,,,,6,6,,,,,
21,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,2021-1,901,4,2021-12-05,1,0,0,,,0,0,0,,,,
22,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,2021-1,902,4,2021-12-05,0,0,0,,,0,0,0,,,,
23,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,2021-1,903,24,2021-12-05,6,6,5,,,3,2,2,,,,
24,2021-03-28,2021-03-31,kaua,1ax234-1#7,864,2021-1,904,24,2021-12-05,6,7,8,,,1,2,3,,,,
25,2021-03-26,2021-03-29,mem,5x9c-7,864,2021-1,824,4,2021-12-05,0,0,0,,,0,0,0,,,,
26,2021-03-26,2021-03-29,mem,5x9c-7,864,2021-1,825,4,2021-12-05,0,1,0,1,,0,0,0,0,,JP: added 0 to bottom_4 per SGW email,
27,2021-03-26,2021-03-29,mem,5x9c-7,864,2021-1,826,24,2021-12-05,6,7,5,5,,5,5,3,6,,,
28,2021-03-26,2021-03-29,mem,5x9c-7,864,2021-1,827,24,2021-12-05,4,0,9,5,,7,0,7,3,,,
29,2021-03-26,2021-03-29,mem,5x9c-7,kaua,1ax234-1#?,828,4,2021-12-05,0,0,0,0,,0,0,0,0,,JP: changed dadplant 1ax224-1 to 1ax234-1#? (? = offspring number not written in databook),
30,2021-03-26,2021-03-29,mem,5x9c-7,kaua,1ax234-1#?,829,4,2021-12-05,0,0,,,,0,0,,,,JP: changed dadplant 1ax224-1 to 1ax234-1#? (? = offspring number not written in databook),
31,2021-03-26,2021-03-29,mem,5x9c-7,kaua,1ax234-1#?,830,24,2021-12-05,3,2,1,3,,0,0,0,0,,"JP: filled B3, B4 with zeros to match M3, M4 (per SGW). changed dadplant 1ax224-1 to 1ax234-1#? (? = offspring number not written in databook)",
32,2021-03-26,2021-03-29,mem,5x9c-7,kaua,1ax234-1#?,831,24,2021-12-05,6,8,5,6,,4,3,3,3,,JP: changed dadplant 1ax224-1 to 1ax234-1#? (? = offspring number not written in databook),
33,2021-03-26,2021-03-29,mem,5x9c-7,864,mem#2x201-11#6,832,4,2021-12-05,1,4,5,1,,0,1,0,0,,,
34,2021-03-26,2021-03-29,mem,5x9c-7,864,mem#2x201-11#6,833,4,2021-12-05,0,0,1,1,,0,0,0,0,,,
35,2021-03-26,2021-03-29,mem,5x9c-7,864,mem#2x201-11#6,834,24,2021-12-05,,,,,,,,,,,,no pollen on stigmas
36,2021-03-26,2021-03-29,mem,5x9c-7,864,mem#2x201-11#6,835,24,2021-12-05,,,,,,,,,,,,no pollen on stigmas
37,2021-03-26,2021-03-29,mem,5x9c-7,kaua,Prog2x525-1#9,836,4,2021-12-05,0,3,4,4,,0,0,0,2,,,
38,2021-03-26,2021-03-29,mem,5x9c-7,kaua,Prog2x525-1#9,637,4,2021-12-05,0,1,1,2,,0,0,0,0,,,
39,2021-03-26,2021-03-29,mem,5x9c-7,kaua,Prog2x525-1#9,838,24,2021-12-05,1,1,0,0,0,0,0,0,0,0,,
40,2021-03-26,2021-03-29,mem,5x9c-7,kaua,Prog2x525-1#9,839,24,2021-12-05,0,0,0,0,,0,0,0,0,,,
41,2020-11-22,2020-11-25,kaua,1ax234-1#9,kaua,1ax525-1#7,260,4,2021-12-14,4,6,4,,,2,0,2,,,,
42,2020-11-22,2020-11-25,kaua,1ax234-1#9,kaua,1ax525-1#7,261,4,2021-12-14,3,3,2,,,4,1,0,,,,
43,2020-11-22,2020-11-25,kaua,1ax234-1#9,kaua,1ax525-1#7,262,24,2021-12-14,7,10,7,,,7,6,7,,,,
44,2020-11-22,2020-11-25,kaua,1ax234-1#9,kaua,1ax525-1#7,263,24,2021-12-14,8,6,9,,,5,8,8,,,,
45,2020-11-22,2020-11-25,kaua,1ax234-1#9,mem,mem#2x201-11#7,264,4,2021-12-14,,,,,,,,,,,JP: changed dadsp kaua > mem,no pollen on stigmas
