"line","pollnum","cross","hr","momid","dadid","date","collect_date","mid","bottom"
114,83,"SxS","4 hr","842 201-46","842 221F",2020-01-08,2020-01-08,9,3
422,408,,"4 hr","842 201-46","842 221F",2020-01-17,,4,1
423,409,,"24 hr","842 201-46","842 221F",2020-01-17,,9,7
454,442,,"4 hr","842 201-46","842 51-20",2020-01-18,2020-01-18,8,3
455,443,,"24 hr","842 201-46","842 51-20",2020-01-18,2020-01-19,13,11
330,314,,"4 hr","842 201-46","849 61A",2020-01-14,2020-01-14,6,1
331,315,,"24 hr","842 201-46","849 61A",2020-01-14,2020-01-15,9,9
452,440,,"4 hr","842 201-46","950 406-2",2020-01-18,2020-01-18,9,3
453,441,,"24 hr","842 201-46","950 406-2",2020-01-18,2020-01-19,12,11
206,180,"SxS","4 hr","842 221F","842 43A-41",2020-01-10,2020-01-10,4,1
207,181,"SxS","24 hr","842 221F","842 43A-41",2020-01-10,2020-01-11,13,11
109,77,"SxS","4 hr","842 221F","842 86-38",2020-01-08,2020-01-08,5,2
110,78,"SxS","24 hr","842 221F","842 86-38",2020-01-08,2020-01-09,13,12
462,450,,"4 hr","842 221F","849 61A",2020-01-18,2020-01-18,6,2
463,451,,"24 hr","842 221F","849 61A",2020-01-18,2020-01-19,11,9
63,35,"SxM","4 hr","842 221F","950 406-2",2020-01-07,2020-01-07,7,5
64,36,"SxM","24 hr","842 221F","950 406-2",2020-01-07,2020-01-08,9,9
107,75,"SxM","4 hr","842 221F","950 406-2",2020-01-08,2020-01-08,5,0
108,76,"SxM","24 hr","842 221F","950 406-2",2020-01-08,2020-01-09,13,10
334,318,,"4 hr","842 22-4","842 37-4",2020-01-14,2020-01-14,8,2
335,319,,"24 hr","842 22-4","842 37-4",2020-01-14,2020-01-15,6,5
482,472,,"4 hr","842 22-4","842 51-20",2020-01-19,2020-01-19,8,4
483,473,,"24 hr","842 22-4","842 51-20",2020-01-19,2020-01-20,8,8
484,474,,"4 hr","842 22-4","849 122-3",2020-01-19,2020-01-19,8,4
485,475,,"24 hr","842 22-4","849 122-3",2020-01-19,2020-01-20,12,10
332,316,,"4 hr","842 22-4","849 93C",2020-01-14,2020-01-14,5,1
333,317,,"24 hr","842 22-4","849 93C",2020-01-14,2020-01-15,6,4
340,324,,"4 hr","842 37-4","842 51-20",2020-01-14,2020-01-14,5,1
341,325,,"24 hr","842 37-4","842 51-20",2020-01-14,2020-01-15,13,12
342,326,,"4 hr","842 37-4","842 86-38",2020-01-14,2020-01-14,4,1
343,327,,"24 hr","842 37-4","842 86-38",2020-01-14,2020-01-15,12,11
252,230,"SxM","4 hr","842 37-4","849 57-39",2020-01-12,2020-01-12,8,5
253,231,"SxM","24 hr","842 37-4","849 57-39",2020-01-12,2020-01-13,14,11
338,322,,"4 hr","842 37-4","849 61A",2020-01-14,2020-01-14,6,2
339,323,,"24 hr","842 37-4","849 61A",2020-01-14,2020-01-15,9,9
120,91,"SxS","4 hr","842 43A-41","842 201-46",2020-01-08,2020-01-08,8,5
