line,emasculation_date,pollination_date,mompop,momplant,dadpop,dadplant,hr,vial,count_date,mid_1,mid_2,mid_3,bottom_1,bottom_2,bottom_3
1,,2020-11-06,120296,9F,14765,6G-Cut 1,4,1,2020-11-10,5,3,7,3,1,3
2,,2020-11-06,120296,9F,14765,6G-Cut 1,4,1,2020-11-10,4,4,3,2,2,2
3,,2020-11-06,120296,9F,14765,6G-Cut 1,24,2,2020-11-10,5,5,6,5,4,5
4,,2020-11-06,120296,9F,14765,6G-Cut 1,24,2,2020-11-10,6,6,6,5,6,6
5,,2020-11-06,120296,9F,14765,20J-6,4,3,2020-11-10,4,4,5,2,1,3
6,,2020-11-06,120296,9F,14765,20J-6,4,3,2020-11-10,4,3,5,2,1,2
7,,2020-11-06,120296,9F,14765,20J-6,24,4,2020-11-10,4,4,4,4,4,3
8,,2020-11-06,120296,9F,14765,20J-6,24,4,2020-11-10,5,5,5,4,5,6
9,,2020-11-06,120296,9F,120289,12 (M),4,5,2020-11-10,5,4,4,3,2,3
10,,2020-11-06,120296,9F,120289,12 (M),4,5,2020-11-10,7,7,6,3,5,5
11,,2020-11-06,120296,9F,120289,12 (M),24,6,2020-11-10,6,4,5,6,5,5
12,,2020-11-06,120296,9F,120289,12 (M),24,6,2020-11-10,7,8,5,7,7,5
13,,2020-11-06,120296,9F,120292,5 (M),4,7,2020-11-10,5,7,4,4,5,3
14,,2020-11-06,120296,9F,120292,5 (M),4,7,2020-11-10,5,6,5,1,2,1
15,,2020-11-06,120296,9F,120292,5 (M),24,8,2020-11-10,4,5,3,4,3,3
16,,2020-11-06,120296,9F,120292,5 (M),24,8,2020-11-10,3,3,5,2,3,5
17,,2020-11-14,120289,11F,14765,6G-Cut 1,4,9,2020-11-17,6,4,6,3,1,4
18,,2020-11-14,120289,11F,14765,6G-Cut 1,4,9,2020-11-17,9,7,5,4,4,3
19,,2020-11-14,120289,11F,14765,6G-Cut 1,24,10,2020-11-17,4,5,5,3,3,3
20,,2020-11-14,120289,11F,14765,6G-Cut 1,24,10,2020-11-17,4,5,5,3,3,4
21,,2020-11-14,120289,11F,14765,20J-6,4,11,2020-11-17,6,5,5,1,3,2
22,,2020-11-14,120289,11F,14765,20J-6,4,11,2020-11-17,6,6,6,2,3,3
23,,2020-11-14,120289,11F,14765,20J-6,24,12,2020-11-17,9,7,,5,4,
24,,2020-11-14,120289,11F,14765,20J-6,24,12,2020-11-17,5,6,5,3,4,3
25,,2020-11-14,120289,11F,120294,7 (M),4,13,2020-11-17,5,5,4,4,3,3
26,,2020-11-14,120289,11F,120294,7 (M),4,13,2020-11-17,6,4,5,3,3,3
27,,2020-11-14,120289,11F,120294,7 (M),24,14,2020-11-17,4,4,4,3,4,4
