momsp	momid	seed	germ	surv
menziesii	8491223	79	4	3
menziesii	84914C	8		
menziesii	8491713	12	1	1
menziesii	849417	74	5	5
menziesii	8495739	28	3	3
menziesii	84957C	12	1	1
menziesii	84961A	7	1	1
menziesii	849772		1	2
menziesii	849772H	21		
menziesii	84983A	29	2	2
menziesii	84989E	56	3	4
menziesii	84993C	55	5	5
menziesii	9504062	73	4	4
menziesii	9504102	5	7	1
menziesii	9504291	43	5	5
menziesii	9504422	19		
menziesii	950501	2		
menziesii	95050136	12		
salicaria	8421085	9	1	1
salicaria	84213956	11	1	1
salicaria	8421433	13	2	4
salicaria	842151E	40	2	2
salicaria	84216121	11		
salicaria	84216221	43	1	1
salicaria	84216723	10	1	1
salicaria	84216754			1
salicaria	84216754F		1	
salicaria	84216923		2	2
salicaria	84217237	11	1	1
salicaria	84217337	4		
salicaria	8421951	13	2	2
salicaria	84220145		2	2
salicaria	84220146	17		1
salicaria	8422123	31	2	2
salicaria	8422152	10	1	1
salicaria	84222127	1	1	1
salicaria	842221F	41	2	2
salicaria	842223	5	1	1
salicaria	84224131		2	2
salicaria	84224131F	1		
salicaria	8423715	5	3	3
salicaria	84243a41		1	1
salicaria	8425120	21	2	2
salicaria	842691F		1	1
salicaria	8428019		1	1
salicaria	8428120	9		
salicaria	8428638		1	1
salicaria	842958		1	1
lydgatei	6682041	5		
lydgatei	66822041	61	3	3
lydgatei	66822092	31	2	2
lydgatei	66822121	52	3	3
lydgatei	66822171	64	4	3
lydgatei	66822211		1	
lydgatei	66822221	33	3	2
lydgatei	66822231	61	3	3
lydgatei	66822292	60	3	3
lydgatei	66822332	71	6	2
lydgatei	66822341	29	1	2
lydgatei	66822342		1	
lydgatei	66822352	74	6	4
lydgatei	66832332			2
sarmentosa	8796123		4	
sarmentosa	8961221	17		
sarmentosa	89612216		1	
sarmentosa	8961222		4	3
sarmentosa	896123	45	3	4
sarmentosa	89612316	68	7	4
sarmentosa	896123LS7	45		
sarmentosa	896143	2		
sarmentosa	89682		3	3
sarmentosa	89682F		1	
stellarioides	10C	31	1	3
stellarioides	10CC2x6GC1(SS1010)	5		
stellarioides	10CC2x6GC1(SS1029)	19		
stellarioides	10CC2x6GC1(SS1043)	24		
stellarioides	1465110CC2	20	1	1
stellarioides	146513B	34		
stellarioides	146513BC2		1	
stellarioides	1476510C	53	1	1
stellarioides	1476514B	15		
stellarioides	1476514B1			1
stellarioides	1476514B1G	20		
stellarioides	1476514B2	20	1	1
stellarioides	1476514BG		1	
stellarioides	1476520J1	33	1	2
stellarioides	1476520J6	37	1	1
stellarioides	147654E	20	2	1
stellarioides	147656G	46		
stellarioides	14B			1
stellarioides	14B1	1		
stellarioides	14Bx6GC2(SS112)	5		
stellarioides	14Bx6GC2(SS121)	9		
stellarioides	14Bx9A(SS1113)	11		
stellarioides	14Bx9A(SS113)	3		
stellarioides	1776510C		1	
stellarioides	3B	1	1	1
stellarioides	3BC2			1
stellarioides	4E	20		
stellarioides	4Ex18E(SS21)	8		
stellarioides	4Ex18E(SS212)	25		
stellarioides	4Ex18E(SS234)	9		
stellarioides	6G	2	3	3
stellarioides	6GC1	6	1	1
stellarioides	6GC2	3		
stellarioides	9A	6		
stellarioides	9Ex18E(SS21)	2		
stellarioides	SS1029		1	1
stellarioides	SS1043		1	1
stellarioides	SS113(14Bx9A3)	4		
stellarioides	SS212		1	1
spergulina	12028911	19		
spergulina	1202896		1	1
spergulina	1202897			1
spergulina	1202899	55	2	1
spergulina	1202908		1	1
spergulina	1202928	46	1	1
spergulina	1202941		2	1
spergulina	1202944	34	1	2
spergulina	1202944F		1	
spergulina	1202947	54	4	2
spergulina	1202969	40	5	2
spergulina	1202984		2	1
membranacea	19033	2		
membranacea	19230	32		
membranacea	20111	25		
membranacea	2012	5		
membranacea	20211	120	2	2
membranacea	20228	1		
membranacea	5x9c7	60		
membranacea	8641		1	
membranacea	86419230		1	1
membranacea	8642		5	1
membranacea	8642012		1	
membranacea	8645x9c7		2	2
membranacea	864Cross6		1	1
membranacea	Cross6		1	1
membranacea	NoTag2	44		
membranacea	Notag1	10		
membranacea	Notag2	79		1
membranacea	memb2		1	1
membranacea	membcross10	1		
membranacea	membcross2	37		
kauaiensis	1	49		
kauaiensis	120741a	31		
kauaiensis	120747	113	1	
kauaiensis	120748X1207473a			1
kauaiensis	1a	159	3	1
kauaiensis	1a234110	11		
kauaiensis	1a234111	7		
kauaiensis	1a234113	11		
kauaiensis	1a234114	27	1	
kauaiensis	1a23413	3		
kauaiensis	1a23414	23		
kauaiensis	1a23415	93		
kauaiensis	1a23416	8		
kauaiensis	1a23417	134	1	
kauaiensis	1a23419	6		
kauaiensis	1a525111	4		
kauaiensis	1a5251111	4		
kauaiensis	1a525113	52		
kauaiensis	1a525114	36		
kauaiensis	1a525117	1		
kauaiensis	1a525120	80	1	
kauaiensis	1a52516a2	2		
kauaiensis	1a52519	1		
kauaiensis	1ax11	13		
kauaiensis	1ax12	9		
kauaiensis	1ax13	6		
kauaiensis	1ax15	20		
kauaiensis	1ax234113	1		
kauaiensis	1ax234114	3		1
kauaiensis	1ax23415	8		
kauaiensis	1ax23417			1
kauaiensis	1ax525120			1
kauaiensis	2341	108		
kauaiensis	2341x1a	4		
kauaiensis	2341x6a2	44		
kauaiensis	2341x73	15		
kauaiensis	245251		1	
kauaiensis	2452511		1	
kauaiensis	245251x6a6			1
kauaiensis	2a	88	1	1
kauaiensis	2a52519	44		
kauaiensis	2x52517	6		
kauaiensis	2x52519	55		
kauaiensis	3a	94	1	
kauaiensis	3a52512	5		
kauaiensis	3a5a5	2		
kauaiensis	3ax5a2	20		
kauaiensis	3ax5a3	24		
kauaiensis	4631	8		
kauaiensis	4633	9		
kauaiensis	4634	135		
kauaiensis	5251	16		
kauaiensis	52511	7		
kauaiensis	5251121	4		
kauaiensis	5251131	38		
kauaiensis	52511x31	2		
kauaiensis	525131	2		
kauaiensis	52516a2	10		
kauaiensis	52516a3	16		
kauaiensis	52516a4	13		
kauaiensis	52516a6	39		
kauaiensis	52516a7	112		
kauaiensis	5251x6a2		2	1
kauaiensis	5251x6a6	16	1	
kauaiensis	5256	34		
kauaiensis	5a		1	
kauaiensis	6a	34		
kauaiensis	7x23412	31		
kauaiensis	7x52511	9		
kauaiensis	7x8Prog2		1	
kauaiensis	NuS211a	4		
kauaiensis	NuaS21	9		
kauaiensis	NuaSd13	1		
kauaiensis	NuaSd21	9		
kauaiensis	P252519		2	
kauaiensis	Prog2x52519			2
kaalae	1152	4	1	1
kaalae	1162	27	1	1
kaalae	1163			1
kaalae	1251	27	1	1
kaalae	1406			1
kaalae	358710	10	4	
kaalae	358714	20	8	1
kaalae	358715	7	5	
kaalae	35877	21	7	3
kaalae	3587A	8	7	
kaalae	3587C	14	4	
kaalae	8921	15	9	1
kaalae	89210	2	2	
kaalae	8923	15	6	2
kaalae	8924	42	7	2
kaalae	8925	16	4	3
kaalae	8926		1	
kaalae	8927		1	
kaalae	8928		1	
kaalae	8929		1	
kaalae	9042	20	10	4
kaalae	9043	17	9	2
kaalae	9045	37	10	5
hookeri	7942	55	12	8
hookeri	7944	46	13	8
hookeri	8.99E+02		1	
hookeri	8662	55	10	7
hookeri	879101	46	13	6
hookeri	87922	24	12	6
hookeri	87923			1
hookeri	87924			1
hookeri	87925			1
hookeri	87926			1
hookeri	87927			1
hookeri	87938	7		
hookeri	879G2	52	12	5
hookeri	879H2	7	3	2
hookeri	879N5	75	11	6
hookeri	899	13		
hookeri	8992E1		4	4
