index	crossid	plantid	death.date	firstflower.date	use.alive.flowered	alive	use.firstflower	flowered	saved.1	saved.2	sampled.VOC	biomass.inflo	biomass.firstinflo	use.fib	delay	firstinflo.collect.date	firstinflo.weigh.date	firstinflo.biomass.mg	comments.fib	comments.SS	comments.JP.SGW	firstflower	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	smompop
1	1	1	NA	2016-10-13	yes	TRUE	yes	TRUE	no	no	no	yes	yes	yes	5	2016-10-18	2017-08-18	34.6	NA	NA	NA	217	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
2	1	2	NA	2016-11-27	yes	TRUE	yes	TRUE	no	no	no	yes	yes	yes	7	2016-12-04	2017-08-24	45.9	NA	NA	NA	262	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
3	1	3	NA	NA	yes	TRUE	missed	TRUE	yes	yes	no	no	yes	yes	NA	2016-08-23	2017-08-16	84.5	NA	MISSED	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
4	1	4	NA	2016-11-06	yes	TRUE	yes	TRUE	no	no	no	yes	yes	yes	7	2016-11-13	2017-08-24	31.1	NA	NA	NA	241	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
5	1	5	NA	NA	yes	TRUE	missed	TRUE	yes	yes	no	no	yes	yes	NA	2016-10-16	2017-08-18	39.9	NA	MISSED	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
6	1	6	2016-06-16	NA	yes	FALSE	no	FALSE	no	no	no	no	no	NA	NA	NA	NA	NA	NA	DEAD	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
7	1	7	NA	NA	yes	TRUE	no	TRUE	no	no	no	yes	yes	yes	NA	2016-08-11	2017-08-08	110.6	NA	no date	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
8	1	8	NA	NA	yes	TRUE	missed	TRUE	no	no	no	yes	yes	double	NA	2016-10-30	2017-08-07	NA	TWO?	MISSED	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
9	1	9	2016-06-16	NA	yes	FALSE	no	FALSE	no	no	no	no	no	NA	NA	NA	NA	NA	NA	DEAD	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
10	1	10	NA	NA	yes	TRUE	missed	TRUE	no	no	no	yes	no	NA	NA	NA	NA	NA	NA	MISSED	NA	NA	879WKG	2-2	hook	879WKG	G-2	hook	within	HH	879-2-2 x 879-G-2	hook.within	hook.within.879WKG.2-2	879WKG.2-2	hook879WKG
