momsp	momid	germid	survid	tot.germ	germ	surv	n
menziesii	8491223	8491223	8491223	215	4	3	1
menziesii	8491713	8491713	8491713	45	1	1	1
menziesii	849417	849417	849417	442	5	5	1
menziesii	8495739	8495739	8495739	268	3	3	1
menziesii	84957C	84957C	84957C	72	1	1	1
menziesii	84961A	84961A	84961A	65	1	1	1
menziesii	849772	849772	849772	45	1	2	1
menziesii	84983A	84983A	84983A	177	2	2	1
menziesii	84989E	84989E	84989E	131	3	4	1
menziesii	84993C	84993C	84993C	439	5	5	1
menziesii	9504062	9504062	9504062	346	4	4	1
menziesii	9504102	9504102	9504102	74	7	1	1
menziesii	9504291	9504291	9504291	694	5	5	1
salicaria	8421085	8421085	8421085	68	1	1	1
salicaria	84213956	84213956	84213956	34	1	1	1
salicaria	8421433	8421433	8421433	185	2	4	1
salicaria	842151E	842151E	842151E	146	2	2	1
salicaria	84216221	84216221	84216221	88	1	1	1
salicaria	84216723	84216723	84216723	169	1	1	1
salicaria	84216754		84216754			1	1
salicaria	84216754F	84216754F		90	1		1
salicaria	84216923	84216923	84216923	191	2	2	1
salicaria	84217237	84217237	84217237	162	1	1	1
salicaria	8421951	8421951	8421951	245	2	2	1
salicaria	84220145	84220145	84220145	186	2	2	1
salicaria	84220146		84220146			1	1
salicaria	8422123	8422123	8422123	112	2	2	1
salicaria	8422152	8422152	8422152	82	1	1	1
salicaria	84222127	84222127	84222127	63	1	1	1
salicaria	842221F	842221F	842221F	138	2	2	1
salicaria	842223	842223	842223	25	1	1	1
salicaria	84224131	84224131	84224131	197	2	2	1
salicaria	8423715	8423715	8423715	239	3	3	1
salicaria	84243a41	84243a41	84243a41	9	1	1	1
salicaria	8425120	8425120	8425120	295	2	2	1
salicaria	842691F	842691F	842691F	79	1	1	1
salicaria	8428019	8428019	8428019	130	1	1	1
salicaria	8428638	8428638	8428638	183	1	1	1
salicaria	842958	842958	842958	92	1	1	1
lydgatei	66822041	66822041	66822041	262	3	3	1
lydgatei	66822092	66822092	66822092	143	2	2	1
lydgatei	66822121	66822121	66822121	164	3	3	1
lydgatei	66822171	66822171	66822171	254	4	3	1
lydgatei	66822211	66822211		181	1		1
lydgatei	66822221	66822221	66822221	187	3	2	1
lydgatei	66822231	66822231	66822231	210	3	3	1
lydgatei	66822292	66822292	66822292	200	3	2	1
lydgatei	66822332	66822332	66822332	433	6	2	1
lydgatei	66822341	66822341	66822341	75	1	2	1
lydgatei	66822342	66822342		95	1		1
lydgatei	66822352	66822352	66822352	445	6	4	1
lydgatei	66832332		66832332			2	1
lydgatei	89612316		89612316			1	2
sarmentosa	8796123	8796123		383	4		1
sarmentosa	89612216	89612216		115	1		1
sarmentosa	8961222	8961222	8961222	290	4	3	1
sarmentosa	896123	896123	896123	215	3	4	1
sarmentosa	89612316	89612316	89612316	591	7	4	2
sarmentosa	89682	89682	89682	309	3	3	1
sarmentosa	89682F	89682F		88	1		1
stellarioides	10C	10C	10C	66	1	3	1
stellarioides	1465110CC2	1465110CC2	1465110CC2	71	1	1	1
stellarioides	146513BC2	146513BC2		14	1		1
stellarioides	1476510C	1476510C	1476510C	89	1	1	1
stellarioides	1476514B1		1476514B1			1	1
stellarioides	1476514B2	1476514B2	1476514B2	62	1	1	1
stellarioides	1476514BG	1476514BG		29	1		1
stellarioides	1476520J1	1476520J1	1476520J1	19	1	2	1
stellarioides	1476520J6	1476520J6	1476520J6	30	1	1	1
stellarioides	147654E	147654E	147654E	87	2	1	1
stellarioides	14B		14B			1	1
stellarioides	1776510C	1776510C		21	1		1
stellarioides	3B	3B	3B	17	1	1	1
stellarioides	3BC2		3BC2			1	1
stellarioides	6G	6G	6G	64	3	3	1
stellarioides	6GC1	6GC1	6GC1	44	1	1	1
stellarioides	SS1029	SS1029	SS1029	78	1	1	1
stellarioides	SS1043	SS1043	SS1043	53	1	1	1
stellarioides	SS212	SS212	SS212	132	1	1	1
spergulina	1202896	1202896	1202896	80	1	1	1
spergulina	1202897		1202897			1	1
spergulina	1202899	1202899	1202899	258	2	1	1
spergulina	1202908	1202908	1202908	91	1	1	1
spergulina	1202928	1202928	1202928	165	1	1	1
spergulina	1202941	1202941	1202941	165	2	1	1
spergulina	1202944	1202944	1202944	113	1	2	1
spergulina	1202944F	1202944F		29	1		1
spergulina	1202947	1202947	1202947	384	4	2	1
spergulina	1202969	1202969	1202969	708	5	2	1
spergulina	1202984	1202984	1202984	64	2	1	1
membranacea	20211	20211	20211	326	2	2	1
membranacea	864#1	864#1		0	1		1
membranacea	864#2	864#2	864#2	244	5	1	1
membranacea	86419230	86419230	86419230	113	1	1	1
