crossid	plantid	block1	blockAB	cross.manual	collect.date	veg.biomass.g	weigh.date	comments	linenum	collect	mompop	momid	momsp	dadpop	dadid	dadsp	crosstype	cross	full	sxc	sxcxm	mompid	dadpid	smompop
93	15	12	NA	NA	2016-12-15	14.41	2017-08-03	NA	1	280	WK	2	hook	WK	4	hook	within	HH	866-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
76	2	1	A	NA	2016-12-15	10.28	2017-08-03	NA	2	280	WK	4	hook	879WKG	G-2	hook	between	HH	794-4 x 879-G-2	hook.between	hook.between.WK.4	WK.4	879WKG.G-2	hookWK
67	14	5	A	NA	2016-12-15	11.22	2017-08-03	NA	3	280	WK	2	hook	892WKG	4	kaal	hybrid	HK	794-2 x 892-4	hook.hybrid	hook.hybrid.WK.2	WK.2	892WKG.4	hookWK
3	4	12	NA	NA	2016-12-17	4.26	2017-08-03	NA	4	282	879WKG	2-2	hook	879WKG	N-5	hook	within	HH	879-2-2 x 879-N-5	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.N-5	hook879WKG
29	14	10	A	NA	2016-12-15	12.98	2017-08-03	NA	5	280	879WKG	10-1	hook	3587WP	15	kaal	hybrid	HK	879-10-1 x 3587-15	hook.hybrid	hook.hybrid.879WKG.10-1	879WKG.10-1	3587WP.15	hook879WKG
7	1	8	A	NA	2016-12-16	5.51	2017-08-03	NA	6	281	879WKG	2-2	hook	892WKG	3	kaal	hybrid	HK	879-2-2 x 892-3	hook.hybrid	hook.hybrid.879WKG.2-2	879WKG.2-2	892WKG.3	hook879WKG
2	18	12	NA	NA	2016-12-17	13.4	2017-08-03	NA	7	282	879WKG	2-2	hook	879WKG	10-1	hook	within	HH	879-2-2 x 879-10-1	hook.within	hook.within.879WKG.2-2	879WKG.2-2	879WKG.10-1	hook879WKG
89	19	NA	A	NA	2016-12-15	8.9	2017-08-03	NA	8	280	WK	2	hook	879WKG	2-2	hook	between	HH	866-2 x 879-2-2	hook.between	hook.between.WK.2	WK.2	879WKG.2-2	hookWK
63	4	11	NA	NA	2016-12-17	11.44	2017-08-03	NA	9	282	WK	2	hook	WK	4	hook	within	HH	794-2 x 794-4	hook.within	hook.within.WK.2	WK.2	WK.4	hookWK
60	5	1	A	NA	2016-12-15	11.16	2017-08-03	NA	10	280	WK	2	hook	879WKG	10-1	hook	between	HH	794-2 x 879-10-1	hook.between	hook.between.WK.2	WK.2	879WKG.10-1	hookWK
